Group,Year,Month,Day,End Year,End Month,End Day,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
記念日,2010,11,25,,,,,「ありあまる愛国心」結成,水野家にて、ふと思い立ち、結成。創立者は高橋翔と水野滉也。,,,,,
HP,2010,11,25,,,,,HP開設,初期メンバー(1期)は、高橋翔、水野滉也、木股岳、田上稜太、林功騎。,http://x82.peps.jp/patriotism/?_cus=q1k8nb&cn=14,,,,
年またぎ会,2010,12,31,2011,1,1,,第1回 年またぎ会,"参加者は、高橋翔、水野滉也、木股岳、田上稜太、林功騎。
水野家和室にて、醤油ちゃんこ鍋。アダルトショップに立ち寄る。この頃から、写真と動画撮影を開始。深夜、高橋、水野、林は松蔭高校へ。木股、田上は押木田公園へ。夜、高橋、水野、田上は湯吉郎へ。
",,,,,
出来事,2011,1,4,,,,,安達匡 加入,"来たるフットサル大会に向けてメンバーを補強。
※安達匡は2期生とされているが、厳密には1.5期生",,,,,
フットサル,2011,1,5,,,,,フットサル初練習,高橋翔、林功騎、安達匡が参加し、押木田公園にて。安達、フットサル経験者という事実が判明。,,,,,
フットサル,2011,2,3,,,,,小寺安貴 練習参加,"高橋翔、小寺安貴を騙して練習に連れてくる。
参加者は、高橋翔、水野滉也、木股岳、林功騎、安達匡、小寺安貴。押木田公園にて。",,,,,
フットサル,2011,2,16,,,,,野田慎吾 練習参加,しれっと初参加。押木田公園にて、高橋翔、木股岳、田上稜太、林功騎、安達匡、野田慎吾。,,,,,
フットサル,2011,2,24,,,,,ラバーモささしまにて初練習,参加者は、高橋翔、木股岳、田上稜太、林功騎、安達匡、野田慎吾。川島、吉田、平野も参加。,,,,,
出来事,2011,2,27,,,,,たこ焼き会,参加者は、高橋翔、水野滉也、木股岳、田上稜太、林功騎、安達匡。アオキスーパーにて買い物。,,,,,
フットサル,2011,3,3,2011,3,4,,合宿(水野家),参加者は、高橋翔、水野滉也、木股岳、田上稜太、林功騎、安達匡、小寺安貴、野田慎吾。水口洋人は欠席。筋トレ後、15h45-17h45、押木田公園でフットサル練習。小学生を圧倒した。小寺は帰宅。アオキスーパーで買い物をし、醤油ちゃんこ鍋を食べた。夜中、トランプ。翌昼、街かど屋で米の大食いをし、半数以上が体調不良に。,,,,,
フットサル,2011,3,14,,,,,初練習試合,"ラバーモささしまにて初の対外試合(松蔭高校友人と)。
参加者は、高橋翔、水野滉也、木股岳、田上稜太、林功騎、安達匡、水口洋人、小寺安貴、野田慎吾。松蔭高校は、川島、鈴木、井手上、高森、中島が参加。",,,,,
フットサル,2011,3,18,2011,3,19,,第1回 フットサル大会参戦,"記念すべき初陣のため、13時に水野家に集合し、鈍池公園で最終調整をする。参加者は、高橋翔、水野滉也、田上稜太、林功騎、安達匡、水口洋人、野田慎吾。その後、木股岳と小寺安貴も合流し、メンバー全員で赤から鍋を食べる。
ラバーモささしまへ自転車で移動し、22時より大会に参加。翌1時まで行われたこの大会の結果は、全敗。
満身創痍の中、ねずみ小僧で打ち上げ。",,,,,
動画,2011,3,25,,,,,映画製作,"主演：水野、林、脇役：小寺、飯田、監督：髙橋
お蔵入りに。",,,,,
出来事,2011,3,27,,,,,焼き肉会,夕食に名駅のやきやへ。参加者は、髙橋、木股、田上、安達、水口、小寺、野田。偶然、後に加入する橘大地に遭遇。その後、田上家→水野家。水野と合流。,,,,,
出来事,2011,3,30,,,,,ありあまる愛国心 関西支部発足,大学進学のため、主将の髙橋が京都、木股が大阪、田上が滋賀へ異動。名古屋本部と関西支部に分かれての活動に。,,,,,
動画,2011,4,18,,,,,YouTubeに動画アップロード開始,"ひとつ目のアカウント「AriAmaruAikokusin」を開設。
当初は、YouTuberのように収益化を目指すもプライバシーの観点から非公開化に。現在は、試合動画のみ公開中。",,,,,
フットサル,2011,5,,,,,,第2回 フットサル大会参戦,,,,,,
HP,2011,11,24,,,,,第1回ありあまる愛国心アカデミー賞,総括者、高橋翔。,http://x82.peps.jp/patriotism/diary/view.php?_cus=q1k8nb&cn=110&old=1&tnum=1&rc=&rows=,,,,
記念日,2011,11,25,,,,,「ありあまる愛国心」結成1周年,,,,,,
年またぎ会,2011,12,31,2012,1,1,,第2回 年またぎ会,,,,,,
HP,2012,11,24,,,,,第2回ありあまる愛国心アカデミー賞,総括者、高橋翔。,http://x82.peps.jp/patriotism/diary/view.php?_cus=q1k8nb&cn=110&old=1&tnum=2&rc=&rows=,,,,
記念日,2012,11,25,,,,,「ありあまる愛国心」結成2周年,,,,,,
年またぎ会,2012,12,31,2013,1,1,,第3回 年またぎ会,,,,,,
HP,2013,11,24,,,,,第3回SNSありあまる愛国心アカデミー賞,総括者、林功騎。,http://x82.peps.jp/patriotism/diary/view.php?_cus=q1k8nb&cn=110&old=1&tnum=3&rc=&rows=,,,,
記念日,2013,11,25,,,,,「ありあまる愛国心」結成3周年,,,,,,
年またぎ会,2013,12,31,2014,1,1,,第4回 年またぎ会,,,,,,
HP,2014,11,24,,,,,第1回ありあまるアカデミー杯,"この回より毎年行っていた「(SNS)ありあまる愛国心アカデミー賞」を廃止し、本杯に名称を改めた。理由は、HPの過疎化によるもので、毎年ではなく4年に1回の催しとした。総括主宰者、高橋翔。
※2018年に第2回が行われることはなく、今後の開催も厳しいとの意見が多い。",http://x82.peps.jp/patriotism/diary/view.php?_cus=q1k8nb&cn=111&old=1&tnum=1&rc=&rows=,,,,
記念日,2014,11,25,,,,,「ありあまる愛国心」結成4周年,,,,,,
年またぎ会,2014,12,31,2015,1,1,,第5回 年またぎ会,,,,,,
記念日,2015,11,25,,,,,「ありあまる愛国心」結成5周年,,,,,,
年またぎ会,2015,12,31,2016,1,1,,第6回 年またぎ会,,,,,,
記念日,2016,11,25,,,,,「ありあまる愛国心」結成6周年,,,,,,
年またぎ会,2016,12,31,2017,1,1,,第7回 年またぎ会,,,,,,
記念日,2017,11,25,,,,,「ありあまる愛国心」結成7周年,,,,,,
年またぎ会,2017,12,31,2018,1,1,,第8回 年またぎ会,,,,,,
出来事,2017,12,31,,,,,野田慎吾 脱退,LINEグループから退会。突然の出来事だった。,,,,,
記念日,2018,11,25,,,,,「ありあまる愛国心」結成8周年,,,,,,
年またぎ会,2018,12,31,2019,1,1,,第9回 年またぎ会,,,,,,
出来事,2019,11,2,,,,,高橋翔 結婚式,,,,,,
出来事,2019,11,4,,,,,年表作成開始,後世に記録を残す目的のため、歴史年表の編纂を開始。編者は高橋翔と水野滉也が中心。,,,,,
記念日,2019,11,25,,,,,「AAA-SNS-PAT」結成9周年,,,,,,
年またぎ会,2019,12,31,2020,1,1,,第10回 年またぎ会,,,,,,
