Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,URL,Image Credit,Type,Color
Action,,,,00:07,,,,00:25,,開始,,,,
Action,,,,00:25,,,,00:30,,動き始め,,,,
Action,,,,00:30,,,,00:40,,羽の提示,,,,
Action,,,,00:40,,,,01:05,,1本目,,,,
Action,,,,01:05,,,,01:25,,2本目,,,,
Action,,,,01:25,,,,01:55,,3本目,,,,
Action,,,,01:55,,,,02:16,,4本目,,,,
Action,,,,02:16,,,,02:49,,5本目,,,,
Action,,,,02:49,,,,03:21,,6本目,,,,
Action,,,,03:21,,,,03:58,,7本目,,,,
Action,,,,03:58,,,,04:38,,8本目,,,,
Action,,,,04:38,,,,05:12,,9本目,,,,
Action,,,,05:12,,,,05:50,,10本目,,,,
Action,,,,05:50,,,,06:46,,11本目,,,,
Action,,,,06:46,,,,07:27,,12本目,,,,
Action,,,,07:27,,,,07:40,,13本目,,,,
Action,,,,07:40,,,,08:00,,呼吸,,,,
Action,,,,08:00,,,,08:18,,頭上,,,,
Action,,,,08:18,,,,08:35,,保つ,,,,
Action,,,,08:35,,,,09:21,,片手頭上,,,,
Action,,,,09:21,,,,10:07,,ラストピース足,,,,
Action,,,,10:07,,,,10:11,,ラスト全体乗せて,,,,
Action,,,,10:11,,,,10:29,,外れる,,,,
Action,,,,10:29,,,,10:37,,自立,,,,
Action,,,,10:37,,,,10:45,,移動,,,,
Action,,,,10:45,,,,10:56,,羽の横へ,,,,
Action,,,,10:56,,,,10:58,,「待って」,,,,
Action,,,,10:58,,,,11:04,,手を伸ばす,,,,
Action,,,,11:04,,,,11:12,,羽をとる,,,,
Action,,,,11:12,,,,11:16,,移動,,,,
Action,,,,11:16,,,,11:20,,一礼,,,,
