Group,Year,Month,Day,End Year,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
誕生日,1,6,5,,,フィガロ,,,,,,
誕生日,1600,1,,,,ファウスト,,,,,,
誕生日,2000,,,,,ルチル,,,,,,
誕生日,2005,,,,,ミチル,,,,,,
出来事,1200,,,,,ホワイトの死,,,,,,
出来事,2005,,,,,チレッタの死,,,,,,
fi出来事,15,,,,,故郷の村が滅ぶ,,,,,,
fi出来事,17,,,,,双子に出会う,,,,,,
fi出来事,20,,,,,オズと出会う,,,,,,
fi出来事,1000,,,1200,,世界征服,,,,,,
fi出来事,1800,,,,,南の国に定住する,,,,,,
fi出来事,1900,,,,,ブラットリー逮捕パフォーマンス,,,,,,
fi出来事,2015,,,,,死期を悟る,,,,,,
fa出来事,1620,,,1630,,革命,,,,,,
fa出来事,1630,,,,,ファウストの火刑,,,,,,
fa出来事,1700,,,,,呪い屋を始める,,,,,,
fa出来事,2010,,,now,,賢者の魔法使いになる,,,,,,
