Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
琳派,1558,,,,1637,,,,,俵屋宗達,,,,,,
琳派,1558,,,,1637,,,,,本阿弥光悦,,,,,,
琳派,1658,,,,1716,,,,,尾形光琳,,,,,,
琳派,1761,,,,1828,,,,,酒井抱一,,,,,,
琳派,1795,,,,1858,,,,,鈴木其一,,,,,,
琳派,1862,7,14,,1918,02,06,,,クリムト,,,https://klimt2019.jp/images/baby-full.jpg?20181108,,,
出来事,1873,5,1,,1873,10,３１,,,ウイーン万博,,,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%B3%E4%B8%87%E5%9B%BD%E5%8D%9A%E8%A6%A7%E4%BC%9A#/media/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Expo_1873_japan.jpg,,box,
