Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time, yyyy,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,, ,平成,,,,,range,
日本の年号,1986,,,,1988,12,,,,昭和,,,,,background,
年齢,1986,10,,,1996,9,,,,0～9歳,,,,,range,
年齢,1996,10,,,2006,9,,,,10代,,,,,background,
年齢,2006,10,,,2016,9,,,,20代,,,,,background,
年齢,2016,10,,,now,,,,,30代,,,,,background,
所属,1990,4,,,1991,3,,,,さくら幼稚園,,,,,background,
所属,1991,4,,,1993,3,,,,青葉幼稚園,,,,,background,
所属,1993,4,,,1996,8,,,,真福寺小学校,,,,,background,
所属,1996,9,,,1999,3,,,,麻生小学校,,,,,background,
所属,1999,4,,,2002,3,,,,麻生中学校,,,,,background,
所属,2002,4,,,2005,3,,,,慶應義塾高校,,,,,background,
所属,2005,4,,,2008,3,,,,慶應義塾大学,,,,,background,
家族,2012,2,,,now,,,,,やすこ,,,,,background,
家庭,1988,,,,1996,5,,,,サンパレス,,,,,background,
家庭,1996,6,,,2008,2,,,,上麻生,,,,,background,
家庭,2009,3,,,2013,3,,,,御殿場,,,,,background,
家庭,2013,4,,,2013,6,,,,居候,,,,,background,
家庭,2013,7,,,2017,6,,,,若松河田,,,,,background,
家庭,2017,7,,,now,,,,,高田馬場,,,,,background,
仕事,2004,8,,,2005,6,,,,ジョイントワーク,,,,,background,
仕事,2005,7,,,2006,12,,,,牛角,,,,,background,
仕事,2007,3,,,2008,3,,,,ソルコ,,,,,background,
仕事,2008,4,,,2008,9,,,,タンタローバ,,,,,background,
仕事,2008,10,,,2009,2,,,,國際本部,,,,,background,
仕事,2009,3,,,2013,3,,,,MUSEO御殿場,,,,,background,
仕事,2013,4,,,2013,10,,,,國際本部,,,,,background,
仕事,2013,11,,,2016,2,,,,マクラーレン東京,,,,,background,
仕事,2013,11,,,2016,2,,,,BANG&OLFUSEN,,,,,background,
仕事,2016,3,,,2016,12,,,,ポルシェ世田谷,,,,,background,
仕事,2017,1,,,now,,,,,EBIM,,,,,background,
仕事,2017,7,,,now,,,,,BANG&OLFUSEN 取締役,,,,,background,
出来事,1990,,,,,,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
ゲーム,1990,,,,,,,,,テトリス,,,,,,
ゲーム,1990,,,,,,,,,スーパーマリオランド,,,,,,
ゲーム,1992,,,,,,,,,スーパーマリオランド2 6つの金貨,,,,,,
ゲーム,1993,10,,,,,,,,スーパーストリートファイター2,,,,,,
ゲーム,1993,4,,,,,,,,マリオコレクション,,,,,,
ゲーム,1991,,,,,,,,,マリオペイント,,,,,,
ゲーム,1994,,,,,,,,,ドラゴンクエスト5,,,,,,
ゲーム,1996,,,,,,,,,桃太郎電鉄Happy,,,,,,
ゲーム,1996,,,,,,,,,実況パワフルプロ野球96開幕版,,,,,,
ゲーム,1996,,,,,,,,,ストリートファイターZERO2,,,,,,
ゲーム,1997,,,,,,,,,ドラゴンクエスト6,,,,,,
ゲーム,2005,,,,,,,,,FF12,,,,,,
ゲーム,2003,,,,,,,,,FF7,,,,,,
ゲーム,2003,,,,,,,,,FF10,,,,,,
ゲーム,2005,,,,,,,,,ウイイレ9,,,,,,
ゲーム,2006,,,,,,,,,ウイイレ10,,,,,,
ゲーム,2007,11,,,,,,,,ウイイレ2008,,,,,,
ゲーム,2008,,,,,,,,,ウイイレ2009,,,,,,
ゲーム,2009,,,,,,,,,ウイイレ2010 蒼き侍,,,,,,
ゲーム,2010,,,,,,,,,ウイイレ2011,,,,,,
ゲーム,2008,11,,,2009,10,,,,メタルギアソリッド4,,,,,,
ゲーム,2011,5,,,2012,10,,,,スーパーストリートファイター4,,,,,,
ゲーム,2009,7,,,,,,,,ボンバーマン,,,,,,
ゲーム,2010,11,,,,,,,,グランツーリスモ5,,,,,,
ゲーム,2012,,,,,,,,,ever 17,,,,,,
ゲーム,2013,10,,,,,,,,GTA5,,,,,,
ゲーム,2014,7,,,,,,,,ラストオフアス,,,,,,
ゲーム,2015,8,,,,,,,,メタルギアソリッド5,,,,,,
ゲーム,2015,12,,,,,,,,ウイイレ2016 myClub,,,,,,
ゲーム,2016,,,,,,,,,ウルトラストリートファイター4,,,,,,
ゲーム,2017,8,,,,,,,,ウィッチャー3,,,,,,
ゲーム,2017,5,,,2017,9,,,,R6S,,,,,,
ゲーム,2016,,,,,,,,,アンチャーテッド4,,,,,,
ゲーム,2017,9,,,2018,2,,,,FIFA18,,,,,,
ゲーム,2018,3,,,now,,,,,フォートナイト,,,,,,
ゲーム,2018,,,,,,,,,スパイダーマン,,,,,,
ゲーム,2018,,,,,,,,,RDR2,,,,,,
タバコ,1999,10,,,,,,,,セッター,,,,,,
タバコ,2000,,,,,,,,,Cool,,,,,,
タバコ,2001,,,,,,,,,マルメラ,,,,,,
タバコ,2005,,,,,,,,,金マル,,,,,,
タバコ,2006,,,,,,,,,ラーク&パーラメント,,,,,,
タバコ,2007,,,,,,,,,ワイルドカード,,,,,,
タバコ,2008,,,,2014,6,,,,キャスターマイルド,,,,,,
タバコ,2015,7,,,,,,,,マイセン,,,,,,
タバコ,2017,,,,,,,,,アイコス,,,,,,
