Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
メタボリズム,1921,3,19,,1990,12,4,,,浅田孝,つくらない建築家,,,,,
メタボリズム,1928,4,1,,2011,12,26,,,菊竹清訓,,,,,,
メタボリズム,1934,4,8,,2007,10,12,,,黒川紀章,,,,,,
,1923,9,8,,2010,8,20,,,大高正人,,,,,,
,1928,9,6,,now,,,,,槇文彦,,,,,,
,1931,7,23,,now,,,,,磯崎新,,,,,,
,1954,8,8,,now,,,,,隈研吾,負ける建築,,,,,
,1913,9,4,,2005,3,22,,,丹下健三,,,,,,
,1905,5,14,,1986,6,26,,,前川國男,ル・コルビュジエに師事,,,,,
,1887,10,6,,1965,8,27,,,"ル・コルビュジエ
",,,,,,
,1941,9,13,,now,,,,,安藤忠雄,闘う建築家,,https://upload.wikimedia.org/wikipedia/commons/6/68/Tadao_Ando_2004.jpg,,,
,1941,6,1,,now,,,,,伊東豊雄,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Toyo_Ito_2009.jpg/440px-Toyo_Ito_2009.jpg,,,
作品,1969,,,,,,,,,ヒルサイドテラスA・B棟,槇文彦,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Hillside_Terrace_A_B_2010.jpg/1920px-Hillside_Terrace_A_B_2010.jpg,,,
作品,1989,,,,,,,,,幕張メッセ,槇文彦,,"https://upload.wikimedia.org/wikipedia/commons/6/6f/Makuhari_Messe,_North_hall_2.jpg",,,
動向,1960,,,,,,,,,丹下健三研究室で磯崎新・黒川紀章ら東京計画1960に関わる。,,,,,,
,1937,10,17,,now,,,,,谷口吉生,,,,,,
,1901,5,29,,1969,9,1,,,坂倉準三,ル・コルビュジエに師事,,,,,
作品,1955,,,,,,,,,広島平和記念公園,丹下健三,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hiroshima_Peace_Memorial_Museum_2009.jpg/400px-Hiroshima_Peace_Memorial_Museum_2009.jpg,,,
作品,1991,,,,,,,,,東京都庁,丹下健三,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tokyo_Metropolitan_Government_Building_No.1_200908.jpg/400px-Tokyo_Metropolitan_Government_Building_No.1_200908.jpg,,,
作品,1951,,,,,,,,,神奈川県立近代美術館 鎌倉館本館,坂倉準三,,,,,
,1936,9,9,,now,,,,,原広司,,,,,,
集団,1995,,,,now,,,,,SANAA(妹島和世＋西沢立衛),,,,,,
作品,,,,,,,,,,金沢21世紀美術館,SANAA(妹島和世＋西沢立衛),,,,,
作品,1997,,,,,,,,,京都駅ビル,原広司,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Christmas_illumination_in_Kyoto_Sta.jpg/480px-Christmas_illumination_in_Kyoto_Sta.jpg,,,
集団,1986,,,,now,,,,,"シーラカンスアンドアソシエイツ(CAn,CAt)",,,,,,
集団,1992,,,,now,,,,,アトリエ・ワン(塚本由晴＋貝島桃代),,,,,,
作品,1976,,,,,,,,,住吉の長屋,安藤忠雄,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Azuma_house.JPG/380px-Azuma_house.JPG,,,
作品,1989,,,,,,,,,光の教会,安藤忠雄,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ibaraki_Kasugaoka_Church_light_cross.jpg/600px-Ibaraki_Kasugaoka_Church_light_cross.jpg,,,
集団,1995,,,,now,,,,,みかんぐみ,,,,,,
,1957,8,5,,now,,,,,坂茂,,,,,,
,1946,11,21,,now,,,,,藤森照信,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Terunobu_Fujimori.jpg/500px-Terunobu_Fujimori.jpg,,,
作品,1995,,,,,,,,,タンポポ・ハウス,,,,,,
,1852,9,28,,1920,6,21,,,ジョサイア・コンドル,,,,,,
