Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,Color
体制,1910,8,29,,1945,9,9,,,日本統治時代,,,,,,
体制,1945,9,,,1960,3,,,,米軍傀儡政権,,,,,,
体制,1963,10,,,1993,2,,,,軍事クーデター政権,,,,,,
体制,1993,2,,,now,,,,,文民政権,,,,,,
大統領,1948,7,,,1960,3,,,,李承晩,,,,,,
大統領,1960,8,,,1962,3,,,,尹潽善,,,,,,
大統領,1963,10,,,1978,7,,,,朴正熙,,,,,,
大統領,1979,12,,,1980,8,,,,崔圭夏,,,,,,
大統領,1980,8,,,1988,2,,,,全斗煥,,,,,,
大統領,1988,2,,,1993,2,,,,盧泰愚,,,,,,
大統領,1993,2,,,1998,2,,,,金泳三,,,,,,
大統領,1998,2,,,2003,2,,,,金大中,,,,,,
大統領,2003,2,,,2008,2,,,,盧武鉉,,,,,,
大統領,2008,2,,,2013,2,,,,李明博,,,,,,
大統領,2013,2,,,2016,12,,,,朴槿恵,,,,,,
大統領,2017,5,,,now,,,,,文在寅,,,,,,
出来事,1948,4,3,,,,,,,済州島四・三事件,,https://ja.wikipedia.org/wiki/%E6%B8%88%E5%B7%9E%E5%B3%B6%E5%9B%9B%E3%83%BB%E4%B8%89%E4%BA%8B%E4%BB%B6,,,,
出来事,1948,8,15,,,,,,,「大韓民国」建国,,,,,,
出来事,1950,6,25,,1953,7,27,,,朝鮮戦争,,,,,,
出来事,1961,5,16,,,,,,,朴正煕による5・16軍事クーデター,,https://ja.wikipedia.org/wiki/5%E3%83%BB16%E8%BB%8D%E4%BA%8B%E3%82%AF%E3%83%BC%E3%83%87%E3%82%BF%E3%83%BC,,,,
出来事,1979,12,12,,,,,,,全斗煥らによる粛軍クーデター,,https://ja.wikipedia.org/wiki/%E7%B2%9B%E8%BB%8D%E3%82%AF%E3%83%BC%E3%83%87%E3%82%BF%E3%83%BC,,,,
出来事,1980,5,18,,1980,5,27,,,光州事件,,https://ja.wikipedia.org/wiki/%E5%85%89%E5%B7%9E%E4%BA%8B%E4%BB%B6,,,,
出来事,1988,9,17,,1988,10,2,,,ソウルオリンピック開催,,,,,,
出来事,1997,7,,,1998,1,,,,アジア通貨危機,,,,,,
