Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
庚申年,1620,,,,1621,,,,,元和の庚申,元和06,,,,,
庚申年,1680,,,,1681,,,,,延宝の庚申,延宝08,,,,,
庚申年,1740,,,,1741,,,,,元文の庚申,元文05,,,,,
庚申年,1800,,,,1801,,,,,寛政の庚申,寛政12,,,,,
庚申年,1860,,,,1861,,,,,万延の庚申,安政06-07-万延01,,,,,
庚申年,1920,,,,1921,,,,,大正の庚申,大正09,,,,,
庚申年,1980,,,,1981,,,,,昭和の庚申,昭和55,,,,,
庚申,1920,,,,,,,,,庚申文字碑　島畑,大正09年,,,,,
庚申,1913,,,,,,,,,庚申文字碑　島畑,大正02年,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　島畑「当村」,不明,,,,,
庚申,1830,6,,,,,,,,庚申文字碑　梅町「仲町有賀」,文政13年06月,,,,,
庚申,1860,,,,,,,,,庚申文字碑　建福寺「新町中」,万延01年,,,,,
庚申,1800,3,,,,,,,,庚申文字碑　建福寺,寛政12年03月,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　建福寺,不明,,,,,
庚申,3000,,,,,,,,,？　庚申文字碑　満光寺「施主池上」,不明,,,,,
庚申,3000,,,,,,,,,？　庚申塔　相頓寺　二鶏三猿三面六臂,不明,,,,,
庚申,1920,4,,,,,,,,庚申文字碑　殿坂,大正09年04月,,,,,
庚申,1860,,,,,,,,,庚申文字碑　殿坂,万延01年,,,,,
庚申,1800,,,,,,,,,庚申文字碑　殿坂「清水町」,寛政12年,,,,,
庚申,1920,4,8,,,,,,,庚申文字碑　諏訪社下「東高遠中」,大正09年04月08日,,,,,
庚申,1800,,,,,,,,,庚申文字碑　諏訪社下,寛政12年「庚申年春彼岸吉日」,,,,,
庚申,1860,1,,,,,,,,庚申文字碑　諏訪社下,安政07年「正月吉日」,,,,,
庚申,1672,,,,,,,,,庚申文字板碑　樹林寺　二猿,寛文12年？,,,,,
庚申,1675,3,2,,,,,,,庚申文字板碑　樹林寺　三猿,延宝03年03月02日,,,,,
庚申,1680,4,,,,,,,,庚申文字板碑　樹林寺　二猿,延宝08年04月,,,,,
庚申,1680,,,,,,,,,庚申笠塔婆　桂泉院,延宝08年「庚申重陽吉辰」,,,,,
庚申,1716,11,,,,,,,,奉講庚申尊天　山の神,享保01年11月「吉日」,,,,,
庚申,1920,1,,,,,,,,庚申文字碑　鍛冶村「村中」,大正09年「正月吉日」,,,,,
庚申,1800,,,,,,,,,庚申文字碑　鍛冶村,寛政12年「庚申年」,,,,,
庚申,1860,,,,,,,,,庚申文字碑　鍛冶村,安政07年「正月吉日」,,,,,
甲子,3000,,,,,,,,,？　甲子文字碑　島畑,不明,,,,,
