Group,Year,Month,Day,Time,"End
 Year",End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
999,2019,5,1,,now,,,,,令和,,,,,,
999,1989,,,,2019,4,30,,,平成,,,,,,
999,1926,,,,1988,,,,,昭和,,,,,,
999,1912,,,,1926,,,,,大正,,,,,,
999,1868,,,,1912,,,,,明治,,,,,,
999,1603,,,,1867,,,,,江戸,,,,,,
999,1573,,,,1603,,,,,安土桃山,,,,,,
999,1338,,,,1573,,,,,室町,,,,,,
999,1333,,,,1336,,,,,建武の新政,,,,,,
999,1185,,,,1333,,,,,鎌倉,,,,,,
999,-1450,,,,-650,,,,白亜紀[-1億4500万年前～6500万年前],中生代,,,,,range,
999,-2100,,,,-1450,,,,ジュラ紀[2億1000万年前～-1億4500万年前],中生代,,,,,range,
999,-2500,,,,-2200,,,,トリアス紀[-2億5100万年前～-2億2000万年前],中生代,,,,,range,
007,1948,1,1,,2064,12,31,,時枝垂れ,『常磐木の物語』,,,,,range,teal
120,1994,,,,2010,,,,,『手を繋ぐ為に』,,,,,range,orange
110,2000,,,,2032,,,,,『紙ひこうき』,,,,,range,blue
200,2032,,,,2036,,,,,『霞の央国』,,,,,range,olive
300,1999,,,,2064,,,,,『詩の記憶』,,,,,range,purple
450,2010,,,,2046,,,,,『Amber-Longing』,,,,,range,red
120,2000,2,,,2000,3,,,検証1,,,,,,,
200,2035,1,,,2035,5,,,検証2,,,,,,,
450,2015,11,,,2042,6,,,検証3,,,,,,,
200,2032,12,,,2037,1,,,検証4,,,,,,,
300,1999,7,,,2032,4,,,検証5,,,,,,,
110,2010,10,,,2030,10,,,検証6,,,,,,,
999,2019,9,,,2019,11,,,type：box,,,,,,box,
999,2019,6,,,2020,1,,,type：point,,,,,,point,
999,2019,6,,,2020,1,,,type：range,,,,,,range,
999,2019,6,,,2020,1,,,type：backgroud,,,,,,background,
006,1900,1,1,,2100,12,31,,type：range／color：red,a,,,,,range,red
006,1900,1,1,,2100,12,31,,type：range／color：orange,b,,,,,range,orange
006,1900,1,1,,2100,12,31,,type：range／color：yellow,c,,,,,range,yellow
006,1900,1,1,,2100,12,31,,type：range／color：olive,d,,,,,range,olive
006,1900,1,1,,2100,12,31,,type：range／color：green,e,,,,,range,green
006,1900,1,1,,2100,12,31,,type：range／color：teal,f,,,,,range,teal
006,1900,1,1,,2100,12,31,,type：range／color：blue,g,,,,,range,blue
006,1900,1,1,,2100,12,31,,type：range／color：violet,h,,,,,range,violet
006,1900,1,1,,2100,12,31,,type：range／color：purple,i,,,,,range,purple
006,1900,1,1,,2100,12,31,,type：range／color：pink,j,,,,,range,pink
006,1900,1,1,,2100,12,31,,type：range／color：pink,k,,,,,range,pink
006,1900,1,1,,2100,12,31,,type：range／color：brown,l,,,,,range,brown
006,1900,1,1,,2100,12,31,,type：range／color：grey,m,,,,,range,grey
006,1900,1,1,,2100,12,31,,type：range／color：black,n,,,,,range,black
