Group,Year,Month,Day,End Year,End Month,End Day,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,592,,,710,,,,飛鳥時代,,,,,,
日本の年号,710,,,794,,,,奈良時代,,,,,,
日本の年号,794,,,1185,,,,平安時代,,,,,,
日本の年号,1185,,,1333,,,,鎌倉時代,,,,,,
日本の年号,1333,,,1336,,,,建武の新政,,,,,,
日本の年号,1336,,,1573,,,,室町時代,,,,,,
日本の年号,1336,,,1392,,,,南北朝時代,,,,,,
日本の年号,1467,,,1590,,,,戦国時代,,,,,,
日本の年号,1573,,,1603,,,,安土桃山時代,,,,,,
日本の年号,1603,,,1868,,,,江戸時代,,,,,,
日本の年号,1868,,,1912,,,,明治時代,,,,,,
日本の年号,1912,,,1926,,,,大正時代,,,,,,
日本の年号,1926,,,1989,,,,昭和時代,,,,,,
日本の年号,1989,,,,,,,平成時代,,,,,,
日本の出来事,1853,,,1868,,,,幕末,,,,,,
日本の出来事,1945,,,1952,,,,連合国軍占領下,,,,,,
日本の元号,645,7,17,650,3,22,,大化,,,,,,
日本の元号,650,3,22,654,11,24,,白雉,,,,,,
日本の元号,654,11,24,686,8,14,,白雉,,,,,,
日本の元号,686,8,14,686,10,1,,朱鳥,,,,,,
日本の元号,686,10,1,701,5,3,,朱鳥,,,,,,
日本の元号,701,5,3,704,6,16,,大宝,,,,,,
日本の元号,704,6,16,708,2,7,,慶雲,,,,,,
日本の元号,708,2,7,715,10,3,,和銅,,,,,,
日本の元号,715,10,3,717,12,24,,霊亀,,,,,,
日本の元号,717,12,24,724,3,3,,養老,,,,,,
日本の元号,724,3,3,724,9,2,,神亀,,,,,,
日本の元号,729,9,2,749,5,4,,天平,,,,,,
日本の元号,749,5,4,749,8,19,,天平感宝,,,,,,
日本の元号,749,8,19,757,9,6,,天平勝宝,,,,,,
日本の元号,757,9,6,765,2,1,,天平宝字,,,,,,
日本の元号,767,2,1,767,9,13,,天平神護,,,,,,
日本の元号,767,9,13,770,10,23,,神護景雲,,,,,,
日本の元号,770,10,23,781,1,30,,宝亀,,,,,,
日本の元号,781,1,30,782,9,30,,天応,,,,,,
日本の元号,782,9,30,806,6,8,,延暦,,,,,,
日本の元号,806,6,8,810,10,20,,大同,,,,,,
日本の元号,810,10,20,824,2,8,,弘仁,,,,,,
日本の元号,824,2,8,834,2,14,,承和,,,,,,
日本の元号,848,7,16,851,6,1,,嘉祥,,,,,,
日本の元号,851,6,1,854,12,23,,仁寿,,,,,,
日本の元号,854,12,23,857,3,20,,斉衡,,,,,,
日本の元号,857,3,20,859,5,20,,天安,,,,,,
日本の元号,859,5,20,877,6,1,,貞観,,,,,,
日本の元号,877,6,1,885,3,11,,元慶,,,,,,
日本の元号,885,3,11,889,5,30,,仁和,,,,,,
日本の元号,889,5,30,898,5,20,,寛平,,,,,,
日本の元号,898,5,20,901,8,30,,昌泰,,,,,,
日本の元号,901,8,31,923,5,29,,延喜,,,,,,
日本の元号,923,5,29,931,5,16,,延長,,,,,,
日本の元号,931,5,16,938,6,22,,承平,,,,,,
日本の元号,938,6,22,947,5,15,,天慶,,,,,,
日本の元号,947,5,15,957,11,21,,天暦,,,,,,
日本の元号,957,11,21,961,3,5,,天徳,,,,,,
日本の元号,961,3,5,964,8,19,,応和,,,,,,
日本の元号,964,8,19,968,9,8,,康保,,,,,,
日本の元号,968,9,8,970,5,3,,安和,,,,,,
日本の元号,970,5,3,974,1,16,,天禄,,,,,,
日本の元号,974,1,16,976,8,11,,天延,,,,,,
日本の元号,976,8,11,978,12,31,,貞元,,,,,,
日本の元号,978,12,31,983,5,29,,天元,,,,,,
日本の元号,983,5,29,985,5,19,,永観,,,,,,
日本の元号,985,5,19,987,5,5,,寛和,,,,,,
日本の元号,978,5,5,989,9,11,,永延,,,,,,
日本の元号,989,9,10,990,11,26,,永祚,,,,,,
日本の元号,990,11,26,995,3,25,,正暦,,,,,,
日本の元号,995,3,25,999,2,1,,長徳,,,,,,
日本の元号,999,2,1,1004,8,8,,長保,,,,,,
日本の元号,1004,8,8,1013,2,8,,寛弘,,,,,,
日本の元号,1013,2,8,1017,5,21,,長和,,,,,,
日本の元号,1017,5,21,1021,3,17,,寛仁,,,,,,
日本の元号,1021,3,17,1024,8,19,,治安,,,,,,
日本の元号,1024,8,19,1028,8,18,,万寿,,,,,,
日本の元号,1028,8,18,1037,5,9,,長元,,,,,,
日本の元号,1037,5,9,1040,12,16,,長暦,,,,,,
日本の元号,1040,12,16,1044,12,16,,長久,,,,,,
日本の元号,1044,12,16,1046,5,22,,寛徳,,,,,,
日本の元号,1046,5,22,1053,2,2,,永承,,,,,,
日本の元号,1053,2,2,1058,9,19,,天喜,,,,,,
江戸四大飢饉,1642,,,1643,,,,寛永の大飢饉,,,,,,
江戸四大飢饉,1732,,,1732,,,,亭保の大飢饉,,,,,,
江戸四大飢饉,1782,,,1787,,,,天明の大飢饉,,,,,,
江戸四大飢饉,1833,,,1839,,,,天保の大飢饉,,,,,,
