Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
城主,1505,,,,1506,,,,1505-1506,牧野古白,"今川氏親（うじちか）の命により築城。
一説には明応5年（1496）",,,,range,
城主,1506,,,,1519,,,,1506-1519,戸田憲光,牧野氏より奪取,,,,,
城主,1519,,,,1522,,,,1519-1522,牧野成三,戸田氏より奪取,,,,,
城主,1522,,,,1532,,,,1522-1532,牧野伝蔵信成,相続,,,,,
城主,1532,,,,1536,,,,1532-1536,松平清康　家臣某,牧野氏より奪取,,,,,
城主,1536,,,,1537,,,,1536-1537,大橋知尚,,,,,,
城主,1537,,,,1546,,,,1537-1546,戸田金七郎宣成,,,,,,
城主,1546,,,,1564,,,,1546-1564,大原資良（小原鎮実）,,,,,,
城主,1564,6,22,,1588,,,,1564-1588,酒井忠次[城代],松平家康、吉田を攻め酒井忠次に吉田小郷一円を宛がう。,,,,,
城主,1588,,,,1590,,,,1588-1590,酒井家次[城代],忠次の隠居に伴い家督相続,,,,,
城主,1590,,,,1601,,,,1590-1601,"池田照政
","家康の関東移封に伴い、家次が下総国臼井に移封。
豊臣秀吉の命で入封。15万2千石（岐阜城主より増加）",,,,,
城主,1601,,,,1610,,,,1601-1610,"松平（竹谷）家清
","12月13日 池田照政、播磨姫路に転封となる。
3万石（武蔵国八幡山より所領を拝領）",,,,,
城主,1610,,,,1612,,,,1610-1612,"松平忠清
","12月21日 松平家清没
3万石（相続）",,,,,
城主,1612,,,,1632,,,,1612-1632,"松平忠利
","４月20日 松平忠清没し、後嗣なく絶家となる
11月12日 松平（深溝）忠利、三河深溝より吉田３万石に増加転封",,,,,
城主,1632,,,,1632,,,,1632-1632,"松平忠房
","６月５日 松平忠利没す。
3万石（相続）
８月11日 忠房遺領を継ぐ

",,,,,
城主,1632,,,,1642,,,,1632-1642,水野忠清,"8月12日に三河刈谷に転封となる。！！
水野忠清、刈谷より吉田４万石に転封となる（後5千石加増）",,,,,
城主,1642,,,,1645,,,,1642-1645,"水野忠善
","忠清の信濃松本に加増移封
駿河国田中より追加転封
4万5千石",,,,,
城主,1645,,,,1663,,,,1645-1663,"小笠原忠知
","忠善の三河岡崎へ追加転封
豊後国杵築より加増移封
4万5千石",,,,,
城主,1663,,,,1678,,,,1663-1678,小笠原長矩,4万石（相続）,,,,,
城主,1678,,,,1690,,,,1678-1690,小笠原長佑,4万石（相続）,,,,,
城主,1690,,,,1697,,,,1690-1697,"小笠原長重
",4万石（相続）,,,,,
城主,1697,,,,1705,,,,1697-1705,"久世重之
","長重の武蔵岩槻へ加増転封
丹波国亀山より転封
5万石",,,,,
城主,1705,,,,1707,,,,1705-1707,"牧野成春
","久世重之下総関宿に転封
下総国関宿より加増移封
8万石",,,,,
城主,1707,,,,1712,,,,1707-1712,牧野成央,8万石（相続）,,,,,
城主,1712,,,,1729,,,,1712-1729,"松平（大河内）信祝
","成央の日向延岡に転封
下総国古河より移封
7万石",,,,,
城主,1729,,,,1749,,,,1729-1749,松平（本庄）資訓,"松平信祝遠江浜松に転封
遠江国浜松より転封
7万石",,,,,
城主,1749,,,,1768,,,,1749-1768,松平（大河内）信復,"松平資訓京都所司代になると同時に遠江浜松に転封
松平（大河内）信復浜松より転封
7万石",,,,,
城主,1768,,,,1770,,,,1768-1770,松平(大河内)信礼,7万石（相続）,,,,,
城主,1770,,,,1817,,,,1770-1817,"松平(大河内)信明
",7万石（相続）,,,,,
城主,1817,,,,1842,,,,1817-1842,松平(大河内)信順,7万石（相続）,,,,,
城主,1842,,,,1844,,,,1842-1844,松平(大河内)信宝,7万石（相続）,,,,,
城主,1844,,,,1849,,,,1844-1849,松平(大河内)信璋,"信宝の死後、大河内松平家より婿養子
7万石",,,,,
城主,1849,,,,1871,,,,1849-1871,松平(大河内)信古,"信璋の死後、狭間家（鯖江藩）より婿養子
7万石",,,,,
広域の出来事,1560,,,,,,,,永禄3年,桶狭間の戦い,信長が今川義元を討つ,,,,box,
広域の出来事,1565,,,,,,,,永禄8年,家康が東三河平定,,,,,box,
広域の出来事,1571,2,,,,,,,元亀2年,遠江・三河侵攻,武田信玄が徳川家康を討つべく、大規模な遠江・三河侵攻を行う。,,,,box,
広域の出来事,1572,12,22,,,,,,元亀3年,三方原の戦い,武田信玄、三方ヶ原の戦いで徳川家康を破る,,,,box,
広域の出来事,1575,5,21,,,,,,天正3年,長篠の戦い,織田・徳川連合軍と、武田勝頼の軍勢が戦った合戦。,,,,box,
広域の出来事,1582,6,2,,,,,,天正10年,本能寺の変,織田信長が、家臣明智光秀の謀反によって襲撃,,,,box,
広域の出来事,1590,,,,,,,,天正18年,小田原征伐,豊臣秀吉が後北条氏を征伐,,,,box,
広域の出来事,1598,,,,,,,,慶長3年,豊臣秀吉、病死,,,,,box,
広域の出来事,1600,,,,,,,,慶長５年,関ヶ原合戦起こる。,12月13日 池田照政、播磨姫路に転封となる。,,,,box,
広域の出来事,1603,,,,,,,,慶長8年,江戸幕府開府,徳川家康、征夷大将軍に任命、江戸幕府を開く。,,,,box,
広域の出来事,1615,,,,,,,,元和元年,大阪城落城,,,,,box,
広域の出来事,1637,,,,,,,,寛永14年,島原の乱,,,,,box,
広域の出来事,1702,,,,,,,,元禄15年,赤穂浪士討ち入り,,,,,box,
広域の出来事,1716,,,,1745,,,,享保元年,享保の改革,,,,,box,
広域の出来事,1787,,,,1793,,,,天明7年,寛政の改革,,,,,box,
