Group,Year,Month,Day,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
中国の年号,1045,6,12,,仁宗慶歴5年乙酉,洪州分寧（江西省修水）に生まれる。,,,,,
日本の年号,1,,,,あ,,,,,,
日本の年号,1,,,,あ,,,,,,
日本の年号,1067(23),,,,英宗治平4年丁未,河南葉県西南の尉となる。,,,,,
日本の年号,1068(,,,,あ,,,,,,
科学者,1,,,,あ,,,,,,
科学者,1,,,,あ,,,,,,
科学者,1094(50),,,,哲宗元祐9年・紹聖元年甲戌,,,,,,
出来事,1,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,１,,,,あ,,,,,,
出来事,1,,,,あ,,,,,,
