Group,Year,Month,Day,Time,year,month,day,time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
誕生日,1600,1,,,,,,,,ファウスト誕生,,,,,,
誕生日,2005,,,,,,,,,ミチル,,,,,,
誕生日,2000,,,,,,,,,ルチル,,,,,,
誕生日,0,,,,,,,,,フィガロ,,,,,,
出来事,,,,,1200,,,,,ホワイトの死,,,,,,
出来事,2005,,,,,,,,,チレッタの死,,,,,,
fi出来事,1000,,,,1200,,,,,世界征服,,,,,,
fi出来事,15,,,,,,,,,故郷の村が滅ぶ,,,,,,
fi出来事,1800,,,,,,,,,南の国に定住する,,,,,,
fi出来事,1900,,,,,,,,,ブラットリー逮捕パフォーマンス,,,,,,
fi出来事,2015,,,,,,,,,死期を悟る,,,,,,
fa出来事,1620,,,,1630,,,,,革命,,,,,,
fa出来事,1630,,,,,,,,,ファウストの火刑,,,,,,
fa出来事,1700,,,,,,,,,呪い屋を始める,,,,,,
