Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
城主,1505,,,,1506,,,,1505-1506,牧野古白,"今川氏親（うじちか）の命により築城
一説には明応5年（1496）とも",,,,range,
城主,1506,,,,1519,,,,1506-1519,戸田憲光,牧野氏より奪取,,,,,
城主,1519,,,,1522,,,,1519-1522,牧野成三,戸田氏より奪取,,,,,
城主,1522,,,,1532,,,,1522-1532,牧野伝蔵信成,相続,,,,,
城主,1532,,,,1536,,,,1532-1536,松平清康　家臣某,牧野氏より奪取,,,,,
城主,1536,,,,1537,,,,1536-1537,大橋知尚,,,,,,
城主,1537,,,,1546,,,,1537-1546,戸田金七郎宣成,,,,,,
城主,1546,,,,1564,,,,1546-1564,大原資良（小原鎮実）,,,,,,
城主,1564,6,22,,1588,,,,1564-1588,酒井忠次[城代],松平家康、吉田を攻め酒井忠次に吉田小郷一円を宛がう,,,,,
城主,1588,,,,1590,,,,1588-1590,酒井家次[城代],忠次の隠居に伴い家督相続,,,,,
城主,1590,,,,1601,,,,1590-1601,"池田照政
","家康の関東移封に伴い、家次が下総国臼井に移封。
豊臣秀吉の命で入封。15万2千石（岐阜城主より増加）",,,,,
城主,1601,,,,1610,,,,1601-1610,"松平（竹谷）家清
","12月13日 池田照政、播磨姫路に転封となる。
3万石（武蔵国八幡山より所領を拝領）",,,,,
城主,1610,,,,1612,,,,1610-1612,"松平忠清
","12月21日 松平家清没
3万石（相続）",,,,,
城主,1612,,,,1632,,,,1612-1632,"松平忠利
","４月20日 松平忠清没し、後嗣なく絶家となる
11月12日 松平（深溝）忠利、三河深溝より吉田３万石に増加転封",,,,,
城主,1632,,,,1632,,,,1632-1632,"松平忠房
","６月５日 松平忠利没す。
3万石（相続）
８月11日 忠房遺領を継ぐ

",,,,,
城主,1632,,,,1642,,,,1632-1642,水野忠清,"8月12日に三河刈谷に転封となる。！！
水野忠清、刈谷より吉田４万石に転封となる（後5千石加増）",,,,,
城主,1642,,,,1645,,,,1642-1645,"水野忠善
","忠清の信濃松本に加増移封
駿河国田中より追加転封
4万5千石",,,,,
城主,1645,,,,1663,,,,1645-1663,"小笠原忠知
","忠善の三河岡崎へ追加転封
豊後国杵築より加増移封
4万5千石",,,,,
城主,1663,,,,1678,,,,1663-1678,小笠原長矩,4万石（相続）,,,,,
城主,1678,,,,1690,,,,1678-1690,小笠原長佑,4万石（相続）,,,,,
城主,1690,,,,1697,,,,1690-1697,"小笠原長重
",4万石（相続）,,,,,
城主,1697,,,,1705,,,,1697-1705,"久世重之
","長重の武蔵岩槻へ加増転封
丹波国亀山より転封
5万石",,,,,
城主,1705,,,,1707,,,,1705-1707,"牧野成春
","久世重之下総関宿に転封
下総国関宿より加増移封
8万石",,,,,
城主,1707,,,,1712,,,,1707-1712,牧野成央,8万石（相続）,,,,,
城主,1712,,,,1729,,,,1712-1729,"松平（大河内）信祝
","成央の日向延岡に転封
下総国古河より移封
7万石",,,,,
城主,1729,,,,1749,,,,1729-1749,松平（本庄）資訓,"松平信祝遠江浜松に転封
遠江国浜松より転封
7万石",,,,,
城主,1749,,,,1768,,,,1749-1768,松平（大河内）信復,"松平資訓京都所司代になると同時に遠江浜松に転封
松平（大河内）信復浜松より転封
7万石",,,,,
城主,1768,,,,1770,,,,1768-1770,松平(大河内)信礼,7万石（相続）,,,,,
城主,1770,,,,1817,,,,1770-1817,"松平(大河内)信明
",7万石（相続）,,,,,
城主,1817,,,,1842,,,,1817-1842,松平(大河内)信順,7万石（相続）,,,,,
城主,1842,,,,1844,,,,1842-1844,松平(大河内)信宝,7万石（相続）,,,,,
城主,1844,,,,1849,,,,1844-1849,松平(大河内)信璋,"信宝の死後、大河内松平家より婿養子
7万石",,,,,
城主,1849,,,,1871,,,,1849-1871,松平(大河内)信古,"信璋の死後、狭間家（鯖江藩）より婿養子
7万石",,,,,
広域,1600,,,,,,,,慶長５年,関ヶ原合戦起こる。,12月13日 池田照政、播磨姫路に転封となる。,,,,box,
広域,1603,,,,,,,,慶長8年,徳川家康、征夷大将軍に任命,江戸幕府を開く。,,,,box,
広域,1867,10,14,,,,,,慶応3年,大政奉還,江戸幕府が政権返上を天皇に奏上,,,,box,
広域,1868,,,,1869,,,,慶応４年-明治2年,戊辰戦争,"大政奉還後に権力を奪われた旧幕府軍の，新政府に対する反発
吉田藩内では佐幕派と尊王派が分裂。3月に新政府に降伏",,,,box,
広域,1872,,,,,,,,明治5年,学制発布,教育国関しての新政府の初の発令。（旧藩士と庶民間での教育感覚が埋まらず混沌としていた模様),,,,,
広域,1873,１,,,,,,,明治6年,徴兵令発布,成人（２０歳）に達した男子全員に徴兵検査の義務,,,,,
広域,1855,,,,,,,,明治18年,教育令改正,後の教育に関する骨子となる,,,,,
広域,1889,,,,,,,,明治22年,大日本帝国憲法発布,,,,,,
広域,1905,5,27,,,,,,明治38,日本海海戦,,,,,box,
広域,1905,,,,,,,,明治38,豊橋俘虜（ふりょ）収容所高師原（たかしばら）収容所が設けられた,,,,,box,
広域,1908,,,,,,,,明治41年,第15師団が豊橋に開設される。,,,,,box,
広域,1914,9,4,,1918,11,11,,大正3年,第１次世界大戦に日本参戦する。,,,,,box,
広域,1931,9,18,,,,,,昭和6年,満州事変がおきる。,,,,,box,
広域,1937,7,7,,1945,9,9,,昭和12年,日中戦争始まる,,,,,box,
広域,1939,,,,,,,,昭和14年,豊橋陸軍予備士官学校設置,,,,,box,
広域,1941,12,8,,1945,8,15,,昭和16年,太平洋戦争始まる。,,,,,box,
広域,1945,8,15,,,,,,昭和20年,終戦,,,,,box,
出来事,1505,,,,,,,,永正２年,牧野古白、今橋城を築くという。,一説には明応5年（1496）,,,,box,
出来事,1506,,,,,,,,永正３年,今川氏親今橋城を攻略、,戸田憲光が牧野古白を破る。,,,,box,
出来事,1519,,,,,,,,永正6年,牧野成三、,戸田金七郎を逐い今橋城に入る。,,,,box,
出来事,1522,,,,,,,,大永２年,牧野伝蔵信成、,今橋を吉田に改めるという。,,,,box,
出来事,1529,,,,,,,,享禄 2年,松平清康、吉田城を攻め,東三河の主部を支配下に置く。,,,,box,
