No.,Player,~2011 ,2012~,2012 05,2012 11
1,Nadeshot,Optic,JuKeD,Optic,Retired
2,BigTymeR,Xtravagant/Optic,apeX esports,,
3,Scump,Quanti LeveraGe,apeX esports,,
4,MerK,LeveraGe/Optic,apeX esports,,XGN
5,Rambo,Xtravagant/Optic,apeX esports,,
6,Karma,Xtravagant,apex Collapse,Impact,
7,Crimsix,Evil,,Quantic Gaming,
8,TeePee,Quantic LeveraGe,,,Envy
9,ACHES,Quantic LeveraGe,,,Prophecy 
10,FormaL,,,,
11,Jkap,Xtravagant/Optic,Envy,,Envy
12,Parasite,FeaR,apex Collapse,Impact,Team Kaliber
13,KiLLa,FeaR,,Impact,vVv
14,Jhon,FeaR,,Impact,vVv
15,TwiZz,FeaR,,Curse,vVv
16,PHiZZURP,FeaR,,,vVv
17,Nameless,FaZe,apex Collapse,,Team Kaliber
18,Ricky,FaZe,apeX esports,,Optic
19,Apashy,vVv,apex Collapse,,Prophecy 
20,Clayster,vVv,,Thrust Nation,Denial
21,Saint,vVv,JuKeD,Thrust Nation/Primal,
22,Spacely,JuKeD,,,Strictly Business
23,Methodz ,,SoaR,,
24,Classic,,,,Elevate
25,Censor,Quantic,,,Prophecy
26,Saints,Quantic,Optic,,Envy
27,Attach,,,,
28,ZooMaa,,,,FaZe
