Group,Year,End Year,Title,Detail,Type,Month,Day,Time,End Month,End Day,End Time,URL,Image URL,Display Date,Image Credit,Color
活動期間,1935,1993,Dizzy Gillespie,,,,,,,,,,,,,
活動期間,1944,1954,Charlie Parker,,,,,,,,,,,,,
活動期間,1944,1971,Thelonious Monk,,,,,,,,,,,,,
活動期間,1944,1988,Stan Getz,,,,,,,,,,,,,
活動期間,1946,1967,John Coltrane,,,,,,,,,,,,,
活動期間,1949,1956,Bud Powell ,,,,,,,,,,,,,
活動期間,1953,1956,Clifford Brown,,,,,,,,,,,,,
活動期間,1955,1975,Cannonball Adderley,,,,,,,,,,,,,
活動期間,1956,1980,Bill Evans,,,,,,,,,,,,,
活動期間,1959,now,Wayne Shorter,,,,,,,,,,,,,
活動期間,1961,now,Herbie Hancock,,,,,,,,,,,,,
活動期間,1966,now,Chick Corea,,,,,,,,,,,,,
活動期間,1970,1986,Weather Report,,,,,,,,,,,,,
活動期間,2003,now,Robert Glasper,,,,,,,,,,,,,
名盤,1947,,Bud Powell Trio,,,,,,,,,,,,,
名盤,1949,,Bird and Diz,,,,,,,,,,,,,
名盤,1972,,Return to Forever,ECM,,,,,,,,,,,,
BlueNote,1939,,設立,,,,,,,,,,,,,
BlueNote,1957,,Blue Train,BLP1577,,,,,,,,,,,,
BlueNote,1958,,Somethin' Else,BLP1595,,,,,,,,,,,,
BlueNote,1958,,Moanin,4003,,,,,,,,,,,,
BlueNote,2012,,Black Radio,,,,,,,,,,,,,
Miles,1926,,誕生,,,5,26,,,,,,,,,
Miles,1945,,初REC,ライオネル・ハンプトンの楽団に所属していたハービー・フィールズと,,,,,,,,,,,,
Miles,1949,,Birth of the Cool,Capitol,,,,,,,,,,,,
Miles,1954,,Walkin ',Prestige,,,,,,,,,,,,
Miles,1955,,第1期〜,ジョン・コルトレーン、レッド・ガーランド、ポール・チェンバース、フィリー・ジョー・ジョーンズ,,,,,,,,,,,,
Miles,1959,,Kind of Blue,Columbia,,,,,,,,,,,,
Miles,1969,,Bitches Brew,Columbia,,,,,,,,,,,,
Miles,1991,,死去,,,9,28,,,,,,,,,
日本,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,
技術,1877,,フォノグラフ,エジソン。円筒式。,,,,,,,,,,,,
技術,1887,,グラモフォン,ベルリナー。円盤式。,,,,,,,,,,,,
技術,1889,,史上初のREC,ブラームスはエジソンの依頼により、自曲『ハンガリー舞曲第一番』とヨーゼフ・シュトラウスのポルカ・マズルカ『とんぼ』を自らピアノ演奏して録音した。,,,,,,,,,,,,
技術,1948,,LPレコード発売開始,コロムビア,,,,,,,,,,,,
技術,1957,,初のステレオ録音,ブルーノート・レコード,,,,,,,,,,,,
技術,1938,,磁気テープの発明,ドイツ,,,,,,,,,,,,
技術,1963,,カセットの発明,オランダフィリップス社が磁気テープをカートリッジ化,,,,,,,,,,,,
技術,1979,,CD発表,フィリップス社とソニーの共同開発,,,,,,,,,,,,
技術,1925,,電気録音実用化,,,,,,,,,,,,,
技術,1992,,MD発表,,,,,,,,,,,,,
Eng,1970,2019,Jan Erik Kongshaug,ECM,,,,,,,,,,,,
歴史,1914,1918,第一次世界大戦,,,,,,,,,,,,,
歴史,1920,1933,禁酒法,,,,,,,,,,,,,
歴史,1939,1945,第二次世界大戦,,,,,,,,,,,,,
