Group,Year,Month,End Year,End Month,Title,Detail,URL,Image URL,Image Credit,Type,Color
,-4026,,-3096,,アダム,930歳,,,,,
,-3896,,-3896,,アベル,死：3896年以前,,,,,
,-2370,,-2370,,メトセラ,,,,,,
,-2970,,-2020,,ノア,,,,,,
,-2468,,-1868,,セム,,,,,,
,-2375,,-2375,,レメク,死：BC2375,,,,,
,-2018,,-1843,,アブラハム,,,,,,
,-1125,,-1125,,サムエル,生：BC12世紀前半,,,,,
,-940,,-905,,エリヤ,BC940-905頃の事が記録されている,,,,,
,-844,,-844,,ヨナ,BC844頃に預言する,,,,,
,-830,,-830,,ヨエル,（大まかな期間）,,,,,
,-820,,-820,,アモス,（大まかな期間）,,,,,
,-815,,-730,,ホセア,（大まかな期間）,,,,,
,-775,,-720,,ミカ,（大まかな期間）,,,,,
,-780,,-720,,イザヤ,（大まかな期間）,,,,,
,-670,,-660,,ゼパニヤ,（大まかな期間）,,,,,
,-660,,-640,,ナホム,（大まかな期間）,,,,,
,-650,,-580,,エレミヤ,（大まかな期間）,,,,,
,-625,,-610,,ハバクク,（大まかな期間）,,,,,
,-620,,-600,,オバデヤ,（大まかな期間）,,,,,
,-615,,-535,,ダニエル,（大まかな期間）,,,,,
,-525,,-515,,ハガイ,（大まかな期間）,,,,,
,-520,,-510,,ゼカリヤ,（大まかな期間）,,,,,
,-470,,-455,,エズラ,（大まかな期間）,,,,,
,-470,,-440,,エレミヤ,（大まかな期間）,,,,,
,-455,,-430,,マラキ,（大まかな期間）,,,,,
,-493,,-475,,エステル,BC493-475頃の事が記録されている,,,,,
出来事,-2370,,-2370,,大洪水,,,,,,
出来事,-1025,,-1025,,アビガイルがダビデと結婚,,,,,,
出来事,-740,,-740,,サマリア陥落,,,,,,
出来事,-632,,-632,,ニネベの滅び,,,,,,
出来事,-607,,-607,,エルサレムの滅び,,,,,,
出来事,-539,,-539,,バビロン陥落,,,,,,
出来事,-537,,-537,,捕囚からの期間,,,,,,
出来事,-515,,-515,,神殿の再建,,,,,,
出来事,-455,,-455,,城壁の再建,,,,,,
出来事,-2,,-2,,ヨセフがマリアと結婚,,,,,,
出来事,-2,,-2,,イエスが生まれる,,,,,,
