Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,Color
ジャンル,1968,,,,,,,,1968,Ragge,,,,,point,
ジャンル,1974,,,,,,,,1974,Disco,ハウス＋トランス＝EDM の後、インテリジェンスミュージックと接続、POP化 も重要なワード,,,,point,
ジャンル,1975,,,,,,,,1975,Dancehall,,,,,point,
ジャンル,1977,,,,,,,,1977,Neue Deutsche Welle (NDW),"rock, synth-pop, New Wave",,,,point,
ジャンル,1981,,,,,,,,1981,Body music,"rock, industrial, metal",,,,point,
ジャンル,1982,,,,,,,,1982,Electro,"Hip hop, NDW",,,,point,
ジャンル,1983,,,,,,,,1983,Hi-NRG,,,,,point,
ジャンル,1987,,,,,,,,1987,Eurobeat,Hi-NRG,,,,point,
ジャンル,1988,,,,,,,,1988,Bleep techno,"House, Neue Deutsche Welle",,,,point,
ジャンル,1990,,,,,,,,1990,Balearic house,House,,,,point,
ジャンル,1991,,,,,,,,1991,Breakbeat hardcore,Rave,,,,point,
ジャンル,1992,,,,,,,,1992,Gabba,Rave,,,,point,
ジャンル,1992,,,,,,,,1992,Intelligent dance music (IDM),"Detroit techno, Rave, Bleep techno",,,,point,
ジャンル,1993,,,,,,,,1993,Acid techno,Hardfloor,,,,point,
ジャンル,1993,,,,,,,,1993,German trance,,,,,point,
ジャンル,1994,,,,,,,,1994,Goa/Psy trance,,,,,point,
ジャンル,1996,,,,,,,,1996,Dub techno,studio 1,,,,point,
ジャンル,1996,,,,,,,,1996,Epic trance,,,,,point,
ジャンル,1997,,,,,,,,1997,Big beat,"rock, Hip hop, Breakbeat",,,,point,
ジャンル,1998,,,,,,,,1998,Filter/French house,,,,,point,
ジャンル,1998,,,,,,,,1998,Makina,,,,,point,
ジャンル,1998,,,,,,,,1998,Dutch Trance,,,,,point,
ジャンル,1999,,,,,,,,1999,Electronica,"IDM, ambient",,,,point,
ジャンル,2000,,,,,,,,00,Hard style,,,,,point,
ジャンル,2000,,,,,,,,00,Progressive House,"Hard house, Trance, Barearic house",,,,point,
ジャンル,2000,,,,,,,,00,Tribal techno/house,,,,,point,
ジャンル,2001,,,,,,,,01,Minimal house / Click house,"Click house, Dub techno, IDM",,,,point,
ジャンル,2002,,,,,,,,02,Erectro House,,,,,point,
ジャンル,2002,,,,,,,,02,Nu style,,,,,point,
