Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
日本・広島・呉の主な出来事,1925,,,,,,,,,広島県物産陳列館竣工10周年。,,,,,,
作中の出来事,1925,,,,,,,,,すず、誕生。,,,,,,
日本・広島・呉の主な出来事,1926,,,,,,,,,元号が「昭和」に変わる。,,,,,,
日本・広島・呉の主な出来事,1927,,,,,,,,,航空母艦「赤城」竣工。,,,,,,
日本・広島・呉の主な出来事,1928,,,,,,,,,重巡洋艦「那智」竣工。,,,,,,
日本・広島・呉の主な出来事,1930,,,,,,,,,重巡洋艦「愛宕」進水。,,,,,,
日本・広島・呉の主な出来事,1931,,,,,,,,,ロンドン海軍軍縮会議。,,,,,,
日本・広島・呉の主な出来事,1931,5,30,,,,,,,呉海軍航空隊設置,,,,,,
日本・広島・呉の主な出来事,1931,9,18,,,,,,,満州事変勃発,,,,,,
日本・広島・呉の主な出来事,1932,3,,,,,,,,満州国建国。,,,,,,
日本・広島・呉の主な出来事,1932,5,15,,,,,,,五・一五事件。,,,,,,
作中の出来事,1932,,,,,,,,,すず、尋常小学校入学。,,,,,,
日本・広島・呉の主な出来事,1933,,,,,,,,,皇太子明仁親王誕生。,,,,,,
作中の出来事,1933,,,,,,,,,すず、中島本町に海苔を届けに行く。,,,,,,
日本・広島・呉の主な出来事,1935,8,,,,,,,,重巡洋艦「最上」竣工。,,,,,,
作中の出来事,1935,,,,,,,,,すず兄妹、草津の叔父の家に行く。すず、座敷童子に会う。,,,,,,
日本・広島・呉の主な出来事,1936,7,,,,,,,,二・二六事件。,,,,,,
日本・広島・呉の主な出来事,1936,,,,,,,,,川原石など呉線沿いに目隠し板塀設置。,,,,,,
日本・広島・呉の主な出来事,1937,,,,,,,,,盧溝橋事件勃発、日中戦争が始まる。,,,,,,
日本・広島・呉の主な出来事,1937,,,,,,,,,航空母艦「蒼龍」竣工。,,,,,,
日本・広島・呉の主な出来事,1938,1,,,,,,,,宇品港転覆事故。,,,,,,
作中の出来事,1938,2,,,,,,,,すず、絵を描く。,,,,,,
日本・広島・呉の主な出来事,1938,7,,,,,,,,水上機母艦「千歳」竣工。,,,,,,
日本・広島・呉の主な出来事,1938,12,,,,,,,,水上機母艦「千代田」竣工。,,,,,,
日本・広島・呉の主な出来事,1939,9,,,,,,,,第二次世界大戦が始まる。,,,,,,
日本・広島・呉の主な出来事,1940,8,8,,,,,,,呉工廠において戦艦「大和」進水式。,,,,,,
作中の出来事,1940,,,,,,,,,すず、高等小学校卒業。,,,,,,
日本・広島・呉の主な出来事,1941,12,,,,,,,,太平洋戦争が始まる。,,,,,,
日本・広島・呉の主な出来事,1941,12,16,,,,,,,16日「大和」竣工。,,,,,,
日本・広島・呉の主な出来事,1943,8,1,,,,,,,8月1日、重巡洋艦「青葉」呉に到着。,,,,,,
作中の出来事,1943,,,,,,,,,要一、出征。,,,,,,
日本・広島・呉の主な出来事,1943,12,15,,,,,,,15日、重巡洋艦「青葉」呉を出撃。,,,,,,
日本・広島・呉の主な出来事,1943,12,24,,,,,,,24日にシンガポールへ進出。,,,,,,
作中の出来事,1943,,,,,,,,,すずに縁談の話が来る。,,,,,,
作中の出来事,1944,2,,,,,,,,すず、結婚。,,,,,,
日本・広島・呉の主な出来事,1944,2,,,,,,,,「青葉」シンガポールを出撃。,,,,,,
作中の出来事,1944,2,,,,,,,,すず、干し柿を食べる。,,,,,,
作中の出来事,1944,2,,,,,,,,すず、回覧板を回す。,,,,,,
作中の出来事,1944,3,,,,,,,,すず、もんぺを作る。,,,,,,
日本・広島・呉の主な出来事,1944,3,15,,,,,,,15日、「青葉」ジャカルタに入港。,,,,,,
作中の出来事,1944,3,,,,,,,,すず、里帰り。,,,,,,
作中の出来事,1944,4,,,,,,,,すず、戦艦大和を見る。,,,,,,
日本・広島・呉の主な出来事,1944,4,,,,,,,,戦艦「大和」改装が完了し、呉軍港に入港。,,,,,,
作中の出来事,1944,5,,,,,,,,すず、楠公飯を作る。,,,,,,
作中の出来事,1944,5,,,,,,,,27日 すず、国民学校の講習会に行く。,,,,,,
作中の出来事,1944,6,,,,,,,,すず、こまつなを収穫。,,,,,,
日本・広島・呉の主な出来事,1944,6,,,,,,,,B-29による日本本土初空襲。呉でも警報が鳴る。「青葉」渾作戦。,,,,,,
作中の出来事,1944,7,,,,,,,,北條家、防空壕を作る。,,,,,,
日本・広島・呉の主な出来事,1944,7,,,,,,,,サイパン島陥落。,,,,,,
作中の出来事,1944,7,,,,,,,,すず、憲兵に捕まる。,,,,,,
日本・広島・呉の主な出来事,1944,7,25,,,,,,,25日「青葉」リンガ泊地に進出。,,,,,,
作中の出来事,1944,8,,,,,,,,すず、闇市に行く。,,,,,,
作中の出来事,1944,8,,,,,,,,すず、朝日遊郭でリンと出会う。,,,,,,
作中の出来事,1944,9,,,,,,,,すず、周作に会いに呉鎮守府に行く。,,,,,,
作中の出来事,1944,9,,,,,,,,すず、病院の帰りにリンと会う。,,,,,,
作中の出来事,1944,10,,,,,,,,周作の伯父母が来る。航空母艦「葛城」竣工。,,,,,,
日本・広島・呉の主な出来事,1944,10,,,,,,,,航空母艦「葛城」竣工。,,,,,,
