Group,Galileo Galilei,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
哲学者,1561,,,,1626,,,,,Francis Bacon,,,,,,
哲学者,1564,,,,1642,,,,,Galileo Galilei,,,,,,
哲学者,1588,,,,1679,,,,,Thomas Hobbes,,,,,,
哲学者,1596,,,,1650,,,,,René Descartes ,,,,,,
哲学者,1623,,,,1662,,,,,Blaise Pascal,,,,,,
哲学者,1632,,,,1704,,,,,John Locke ,,,,,,
哲学者,1632,,,,1677,,,,,Baruch De Spinoza,,,,,,
哲学者,1642,,,,1727,,,,,Sir Isaac Newton,,,,,,
哲学者,1646,,,,1716,,,,,Gottfried Wilhelm Leibniz,,,,,,
哲学者,1668,,,,1744,,,,,Giambattista Vico,,,,,,
哲学者,1689,,,,1755,,,,,Charles-Louis de Montesquieu,,,,,,
哲学者,1694,,,,1778,,,,,François-Marie Arouet,,,,,,
哲学者,1711,,,,1776,,,,,David Hume,,,,,,
哲学者,1712,,,,1778,,,,,Jean-Jacques Rousseau,,,,,,
哲学者,1713,,,,1784,,,,,Denis Diderot,,,,,,
哲学者,1717,,,,1783,,,,,Jean Le Rond d'Alembert,,,,,,
哲学者,1723,,,,1790,,,,,Adam Smith,,,,,,
哲学者,1724,,,,1824,,,,,Immanuel Kant,,,,,,
哲学者,1744,,,,1803,,,,,Johann Gottfried von Herder,,,,,,
哲学者,1748,,,,1832,,,,,Jeremy Bentham,,,,,,
哲学者,1762,,,,1814,,,,,Johann Gottlieb Fichte,,,,,,
哲学者,1770,,,,1831,,,,,Georg Wilhelm Friedrich Hegel ,,,,,,
哲学者,1775,,,,1854,,,,,Friedrich Wilhelm Joseph von Schelling,,,,,,
哲学者,1788,,,,1860,,,,,Arthur Schopenhauer,,,,,,
哲学者,1798,,,,1857,,,,,Isidore Auguste Marie François Xavier Comte,,,,,,
哲学者,1804,,,,1872,,,,,Ludwig Andreas Feuerbach,,,,,,
哲学者,1805,,,,1859,,,,,Alexis-Charles-Henri Clérel de Tocqueville,,,,,,
哲学者,1806,,,,1873,,,,,John Stuart Mill,,,,,,
哲学者,1809,,,,1865,,,,,Pierre Joseph Proudhon,,,,,,
哲学者,1813,,,,1855,,,,,Søren Aabye Kierkegaard,,,,,,
哲学者,1818,,,,1883,,,,,Karl Heinrich Marx,,,,,,
哲学者,1820,,,,1895,,,,,Friedrich Engels,,,,,,
哲学者,1820,,,,1903,,,,,Herbert Spencer,,,,,,
哲学者,1833,,,,1911,,,,,Wilhelm Christian Ludwig Dilthey,,,,,,
哲学者,1838,,,,1917,,,,,Franz Clemens Honoratus Hermann Brentano,,,,,,
哲学者,1839,,,,1914,,,,,Charles Sanders Peirce,,,,,,
哲学者,1842,,,,1910,,,,,William James,,,,,,
哲学者,1844,,,,1900,,,,,Friedrich Wilhelm Nietzsche,,,,,,
哲学者,1848,,,,1925,,,,,Friedrich Ludwig Gottlob Frege,,,,,,
哲学者,1856,,,,1939,,,,,Sigmund Freud,,,,,,
哲学者,1857,,,,1913,,,,,Ferdinand de Saussure,,,,,,
哲学者,1858,,,,1917,,,,,Émile Durkheim,,,,,,
哲学者,1858,,,,1918,,,,,Georg Simmel,,,,,,
哲学者,1859,,,,1938,,,,,Edmund Gustav Albrecht Husserl,,,,,,
哲学者,1859,,,,1952,,,,,John Dewey,,,,,,
哲学者,1859,,,,1941,,,,,Henri-Louis Bergson,,,,,,
哲学者,1861,,,,1947,,,,,Alfred North Whitehead,,,,,,
哲学者,1863,,,,1931,,,,,George Herbert Mead,,,,,,
哲学者,1864,,,,1920,,,,,Max Weber,,,,,,
哲学者,1872,,,,1970,,,,,Bertrand Arthur William Russell,,,,,,
