Group,Title,Detail,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,URL,Image URL,Image Credit,Type,Color
Webサービス,Yahoo! 誕生,,1994,2,,,,,,,,,,,,
Webサービス,amazon.com サービス開始,,1995,7,,,,,,,,,,,,
Webサービス,Google 設立,,1998,9,4,,,,,,,,,,,
Webサービス,Wikipediaプロジェクト始動,,2001,1,15,,,,,,,,,,,
Webサービス,Facebook サービス開始,,2004,2,4,,,,,,,,,,,
Webサービス,YouTube サービス開始,,2005,2,15,,,,,,,,,,,
Webサービス,Twitter サービス開始,,2006,6,,,,,,,,,,,,
Webサービス,Evernote 一般公開,,2008,6,24,,,,,,,,,,,
Webサービス,Dropbox 一般公開,,2008,9,,,,,,,,,,,,
Webサービス,Github サービス開始,,2008,4,10,,,,,,,,,,,
Webサービス,Yahoo! Japan サービス開始,,1996,4,,,,,,,,,,,,
Webサービス,楽天市場 サービス開始,,1997,5,1,,,,,,,,,,,
Webサービス,クックパッド (kitchen＠coin)  サービス開始,,1988,3,3,,,,,,,,,,,
Webサービス,2ちゃんねる サービス開始,,1999,5,,,,,,,,,,,,
Webサービス,人力検索サイトはてな サービス開始,,2001,7,15,,,,,,,,,,,
Webサービス,mixi サービス開始,,2004,2,,,,,,,,,,,,
Webサービス,GREE サービス開始,,2005,6,,,,,,,,,,,,
Webサービス,モバゲータウン サービス開始,,2006,2,7,,,,,,,,,,,
Webサービス,ニコニコ動画 サービス開始,,2006,12,12,,,,,,,,,,,
Webサービス,Pixiv サービス開始,,2007,9,11,,,,,,,,,,,
インフラ,iモード サービス開始,,1999,2,22,,,,,,,,,,,
インフラ,FOMA サービス開始,,2001,10,1,,,,,,,,,,,
インフラ,Xi サービス開始,,2010,12,24,,,,,,,,,,,
インフラ,Yahoo! BB サービス開始,,2001,9,,,,,,,,,,,,
インフラ,J-PHONE,,1997,2,,,2003,9,,,,,,,,
インフラ,Vodafone,,2003,10,,,2006,9,,,,,,,,
インフラ,SoftBank,,2006,10,,,now,,,,,,,,,
OS/ハード,Windows95 発売,,1995,11,23,,,,,,,,,,,
OS/ハード,WindowsXP 発売,,2001,10,25,,,,,,,,,,,
OS/ハード,iPhone 3G 発売,,2008,6,9,,,,,,,,,,,
OS/ハード,日本初 Android Ver.1.5(2.2) HT-03A 発売 ,,2009,7,10,,,,,,,,,,,
OS/ハード,Windows7 発売,,2009,10,22,,,,,,,,,,,
OS/ハード,iPhone 4 発売,,2010,6,24,,,,,,,,,,,
OS/ハード,au 初 Android Ver.1.6 IS01 発売,,2010,6,30,,,,,,,,,,,
OS/ハード,GALAXY S SC-02B Android Ver.2.2 発売,,2010,10,28,,,,,,,,,,,
OS/ハード,iPhone 5 発売,,2012,9,21,,,,,,,,,,,
OS/ハード,Windows10 発売,,2015,7,29,,,,,,,,,,,
OS/ハード,iMac 発売,,1998,8,15,,,,,,,,,,,
OS/ハード,Mac mini 発売,,2005,1,22,,,,,,,,,,,
OS/ハード,MacBook 発売,,2006,5,16,,,,,,,,,,,
OS/ハード,MacBookAir 発売,,2008,1,16,,,,,,,,,,,
ソフト/アプリ,Firefox1.0 公開,,2004,11,9,,,,,,,,,,,
