モデル名,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
デイトナ,1950末,,,,196?,,,,,6238,37mm cal72B or cal722-1,,,,,
デイトナ,1963,,,,196?,,,,,6239,37mm  PNあり ベゼルタキへ ,,,,,
デイトナ,196?,,,,197?,,,,,6240,三代目プロト？スクリューロック PNあり,,,,,
デイトナ,1965,,,,196?,,,,,6241,プラベゼル PNあり,,,,,
デイトナ,1965,,,,1970,,,,,6262,"鉄ベゼル Cal.727 キフ搭載 21,600振動 PNあり 巻ブレス、ブレスNo.7835 FFNo.271",,,,,
デイトナ,1965,,,,1970,,,,,6264,"6262のプラベゼル版のようなもの
どちらも非ねじ込み、短命",,,,,
デイトナ,1970,,,,1988(R),,,,,6263,プラベゼル Cal.727 PNあり このモデルでプラはなくなる,,,,,
デイトナ,1970,,,,1988(R),,,,,6265,"手巻きデイトナ最終型、一番人気
cal727 PNあり 巻き/ハード",,,,,
デイトナ,1988,,,,2000(P),,,,,16520,最終品番A/P エルプリムーブ、初の自動巻き、40mm　防水100mへ cal4030 28800振動。1999年にトリチウム→ルミノバ,,,,,
デイトナ,1988,,,,2000(P),,,,,16523,BK/WH/SHP/GR/BK8P/WH8P/SHP8P/WHMOP8P　など,,,,,
デイトナ,1988,,,,2000(P),,,,,16528,BK/WH/SHP/BK8P/WH8P　など,,,,,
デイトナ,1991(EXN),,,,2000(P),,,,,16518,BK/WHアラビア/WH8P/WHMOPアラビア　など（革）,,,,,
デイトナ,1996(T),,,,2000(P),,,,,16519,BK/WHアラビア/BK8P/WH8P/PKMOPアラビア/PKMOPシェル/PKMOP8P,,,,,
デイトナ,,,,,,,,,,116520,,,,,,
デイトナ,,,,,,,,,,116523,,,,,,
デイトナ,,,,,,,,,,116528,,,,,,
デイトナ,,,,,,,,,,116518,,,,,,
デイトナ,,,,,,,,,,116519,,,,,,
デイトナ,,,,,,,,,,116500LN,,,,,,
デイトナ,,,,,,,,,,116503,,,,,,
デイトナ,,,,,,,,,,116503G,,,,,,
デイトナ,,,,,,,,,,116503NG,,,,,,
デイトナ,,,,,,,,,,116508,,,,,,
デイトナ,,,,,,,,,,116508G,,,,,,
デイトナ,,,,,,,,,,116508NG,,,,,,
デイトナ,,,,,,,,,,116509,,,,,,
デイトナ,,,,,,,,,,116509G,,,,,,
デイトナ,,,,,,,,,,116509NG,,,,,,
デイトナ,,,,,,,,,,116505,,,,,,
デイトナ,,,,,,,,,,116505A,,,,,,
デイトナ,,,,,,,,,,116506,,,,,,
デイトナ,,,,,,,,,,116506A,ディスコン,,,,,
デイトナ,,,,,,,,,,116518LN,,,,,,
デイトナ,,,,,,,,,,116518LNG,,,,,,
デイトナ,,,,,,,,,,116518LNNG,,,,,,
デイトナ,,,,,,,,,,116519LN,,,,,,
デイトナ,,,,,,,,,,116515LN,,,,,,
