Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
ライフイベント,1963,3,27,,,,,,,誕生,,,,,,
ライフイベント,1971,,,,,,,,,エルセグンド（LA）に引っ越し,,,,,,
ライフイベント,1977,,,,,,,,,最初の脚本『ジ・アメージング・アドベンチャー・オブ・ミスター・リー』（The Amazing Adventures of Mr. Lee）を書く,,,,,,
ライフイベント,1979,,,,,,,,,ジェームス・ベスト劇団に入団,,,,,,
出来事,2004,2,,,,,,,,コロッサス（ピーター・ラスプーチン）復活,※Astonishing X-Men Vol. 1: Gifted,,,,,
出来事,2005,3,,,,,,,,ホーネット（エディー・マクダナフ）死亡,※Wolverine: Enemy of the State,,,,,
出来事,2005,2,16,,,,,,,ウィング死亡,※Astonishing X-Men Vol. 2: Dangerous,,,,,
Astonishing X-Men,2004,5,26,,2004,11,3,,#1-6,Astonishing X-Men Vol. 1: Gifted,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/14687/OCT041800._SX1280_QL80_TTD_.jpg,,range,
Astonishing X-Men,2004,11,22,,2005,8,31,,#7-12,Astonishing X-Men Vol. 2: Dangerous,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/17191/JUN052064_2._SX1280_QL80_TTD_.jpg,,range,
Avengers,2004,9,,,2004,12,,,#500-503,Avengers: Disassembled,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/19671/19671._SX1280_QL80_TTD_.jpg,,range,
Avengers Finale,2005,1,,,2005,1,,,#1,Avengers Finale,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/435319/435319._SX1280_QL80_TTD_.jpg,,box,
Wolverine,2004,10,6,,2005,9,21,,#20-32,Wolverine: Enemy of the State,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/20769/APR082366_1._SX1280_QL80_TTD_.jpg,,range,
New Avengers,2004,12,1,,2005,6,22,,#1-6,New Avengers Vol. 1: Breakout,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/14691/14691._SX1280_QL80_TTD_.jpg,,range,
New Avengers,2005,7,13,,2005,9,21,,#7-10,New Avengers Vol. 2: The Sentry,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/16133/16133._SX1280_QL80_TTD_.jpg,,range,
New Avengers,2005,9,28,,2006,1,25,,#11-15,New Avengers Vol. 3: Secrets & Lies,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/17988/17988._SX1280_QL80_TTD_.jpg,,range,
New Avengers,2006,2,22,,2006,6,21,,#16-20,New Avengers Vol. 4: Collective,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/19462/19462._SX1280_QL80_TTD_.jpg,,range,
Wolverine: Origin ,2001,10,31,,2002,7,1,,#1-6,Wolverine: Origin,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/20543/DEC082436_1._SX1280_QL80_TTD_.jpg,,range,
Iron Man,2005,1,,,2006,4,,,#1-6,Iron Man Vol 4: Extremis,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/16812/NOV062366._SX1280_QL80_TTD_.jpg,,range,
"Earth-58163
House of M",2005,6,1,,2005,11,2,,#1-8,House of M,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/15722/15722._SX1280_QL80_TTD_.jpg,,range,
"Earth-58163
X-Men",2005,11,16,,2006,1,18,,#1-6,X-Men: Deadly Genesis,,,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/28991/OCT062219_1._SX1280_QL80_TTD_.jpg,,range,
