Group,year,Title,End Year,colour
日本の年号,1700,江戸,1867,
日本の年号,1868,明治,1912,
日本の年号,1912,大正,1926,
日本の年号,1926,昭和,1988,
日本の年号,1989,平成,now,
彫刻家,1718,木喰,1810,green
彫刻家,1826,高村東雲,1879,green
彫刻家,1845,小倉惣次郎,1913,green
彫刻家,1848,鈴木長吉,1919,green
彫刻家,1852,石川光明,1913,green
彫刻家,1852,高村光雲,1934,green
彫刻家,1855,島村俊明,1896,green
彫刻家,1857,竹内久一,1916,green
彫刻家,1861,藤田文蔵,1934,green
彫刻家,1863,岡倉天心,1913,green
彫刻家,1867,山崎朝雲,1954,green
彫刻家,1868,新海竹太郎,1927,green
彫刻家,1872,平櫛田中,1979,green
彫刻家,1879,荻原禄山,1910,green
彫刻家,1880,建畠大夢,1942,green
彫刻家,1883,高村光太郎,1956,green
彫刻家,1883,朝倉文夫,1964,green
彫刻家,1883,藤川勇造,1935,green
彫刻家,1884,北村西望,1987,green
彫刻家,1887,石井鶴三,1973,green
彫刻家,1888,佐藤朝山,1954,green
彫刻家,1888,中原悌二郎,1921,green
彫刻家,1892,木内克,1977,green
彫刻家,1897,橋本平八,1935,green
彫刻家,1901,笠置季男,1967,blue
彫刻家,1904,イサム・ノグチ,1988,blue
彫刻家,1904,斎藤義重,2001,blue
彫刻家,1905,本郷新,1980,blue
彫刻家,1908,菊池一雄,1985,blue
彫刻家,1910,辻晋堂,1981,blue
彫刻家,1910,柳原義達,2004,blue
彫刻家,1911,岡本太郎,1996,blue
彫刻家,1911,堀内正和,2001,blue
彫刻家,1912,船越保武,2002,blue
彫刻家,1912,佐藤忠良,2011,blue
彫刻家,1913,小野忠弘,1991,blue
彫刻家,1913,植木茂,1984,blue
彫刻家,1915,昆野恒,1985,blue
彫刻家,1918,向井良吉,2010,blue
彫刻家,1919,建畠覚造,2006,blue
彫刻家,1923,毛利武士郎,2004,blue
彫刻家,1925,豊福知徳,2019,blue
彫刻家,1926,吾妻兼次郎,2016,orange
彫刻家,1926,土谷武,2004,orange
彫刻家,1927,加藤昭男,2015,orange
彫刻家,1928,木村賢太郎,now,orange
彫刻家,1930,井上武吉,1997,orange
彫刻家,1930,細川宗英,1994,orange
彫刻家,1930,保田春彦,2018,orange
彫刻家,1931,篠田守男,now,orange
彫刻家,1936,高松次郎,1998,orange
彫刻家,1936,福岡道雄,now,orange
彫刻家,1936,李 禹煥,now,orange
彫刻家,1936,若林奮,2003,orange
彫刻家,1937,赤瀬川原平,2014,orange
彫刻家,1940,河口龍夫,now,orange
彫刻家,1941,山本正道,now,orange
彫刻家,1942,殿敷 侃,1992,orange
彫刻家,1942,関根伸夫,2019,orange
彫刻家,1943,吉田克朗,1999,orange
彫刻家,1944,小清水漸,now,orange
彫刻家,1944,菅木志雄,now,orange
彫刻家,1945,安田侃,now,orange
彫刻家,1945,野村仁,now,orange
彫刻家,1947,戸谷成雄,now,orange
彫刻家,1947,國松明日香,now,orange
彫刻家,1950,遠藤利克,now,orange
彫刻家,1951,船越桂,now,orange
彫刻家,1953,平川滋子,now,orange
彫刻家,1961,中原浩大,now,orange
彫刻家,1962,村上隆,now,orange
彫刻家,1965,ヤノベケンジ,now,orange
彫刻家,1968,高嶺格,now,orange
彫刻家,1975,名和晃平,now,orange
