Group,Year,Month,Day,End Year,End Month,End Day,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1588,,,1867,,,,江戸,,,,,,
日本の年号,1868,,,1912,,,,明治,,,,,,
日本の年号,1912,,,1926,,,,大正,,,,,,
日本の年号,1926,,,1988,,,,昭和,,,,,,
日本の年号,1989,,,2018,,,,平成,,,,,,
日本の年号,2019,,,now,,,,令和,,,,,,
小説家,1883,2,20,1971,10,21,,志賀直哉,「写実の名手」であり、鋭く正確に捉えた対象を簡潔な言葉で表現しているとの定評がある。無駄を省いた文章は、文体の理想のひとつと見なされ高い評価を得ている。このことから直哉の作品は文章練達のための模写の題材にされることもある。当時の文学青年から崇拝され、代表作『小僧の神様』にかけて「小説の神様」に擬せられていた。,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Naoya_Shiga_photographed_by_Shigeru_Tamura.jpg/180px-Naoya_Shiga_photographed_by_Shigeru_Tamura.jpg,,,
小説家,1886,7,24,1965,7,30,,谷崎潤一郎,初期は耽美主義の一派とされ、過剰なほどの女性愛やマゾヒズムなどのスキャンダラスな文脈で語られることが少なくないが、その作風や題材、文体・表現は生涯にわたって様々に変遷した。漢語や雅語から俗語や方言までを使いこなす端麗な文章と、作品ごとにがらりと変わる巧みな語り口が特徴。情痴や時代風俗などのテーマを扱う通俗性と、文体や形式における芸術性を高いレベルで融和させた純文学の秀作によって世評高い。,,https://www.shinchosha.co.jp/images_v2/writer/2066.jpg,,,
小説家,1888,12,26,1948,3,6,,菊池寛,「時事新報」記者を勤めるかたわら短編小説を発表し、新進作家としての地位を確立。さらに面白さと平易さを重視した新聞小説で、一躍、流行作家になった。その一方、鋭いジャーナリスト感覚から1923年、「文藝春秋」を創刊、文芸家協会会長等を務め、“文壇の大御所”と呼ばれた。,,https://www.shinchosha.co.jp/images_v2/writer/1272.jpg,,,
小説家,1872,3,25,1943,8,22,,島崎藤村,,,,,,
小説家,1892,3,1,1927,7,24,,芥川龍之介,今昔物語などから材を取った王朝もの、中国の説話によった童話を次々と発表、大正文壇の寵児となる。西欧の短編小説の手法・様式を完全に身に付け、東西の文献資料に材を仰ぎながら、自身の主題を見事に小説化した傑作を多数発表。,,https://www.shinchosha.co.jp/images_v2/writer/619.jpg,,,
小説家,1899,6,14,1972,4,16,,川端康成,西欧の前衛文学を取り入れた新しい感覚の文学を志し「新感覚派」の作家として注目され、詩的、抒情的作品、浅草物、心霊・神秘的作品、少女小説など様々な手法や作風の変遷を見せて「奇術師」の異名を持った。その後は、死や流転のうちに「日本の美」を表現した作品、連歌と前衛が融合した作品など、伝統美、魔界、幽玄、妖美な世界観を確立させ、人間の醜や悪も、非情や孤独も絶望も知り尽くした上で、美や愛への転換を探求した数々の日本文学史に燦然とかがやく名作を遺し、日本文学の最高峰として不動の地位を築いた。,,https://jonysad.com/wp-content/uploads/2017/09/2020010956.jpg,,,
小説家,1901,2,17,1932,3,24,,梶井基次郎,感覚的なものと知的なものが融合した簡潔な描写と詩情豊かな澄明な文体で20篇余りの小品を残し、文壇に認められてまもなく、31歳の若さで肺結核で没。その作品群は心境小説に近く、散策で目にした風景や自らの身辺を題材にした作品が主であるが、日本的自然主義や私小説の影響を受けながらも、感覚的詩人的な側面の強い独自の作品を創り出している。,,https://upload.wikimedia.org/wikipedia/ja/a/aa/Motojiro_kazii.jpg,,,
小説家,1905,1,16,1969,11,15,,伊藤整,,,,,,
小説家,1906,10,20,1955,2,17,,坂口安吾,,,,,,
小説家,1909,3,6,1988,12,25,,大岡昇平,,,,,,
小説家,1921,2,29,2009,9,21,,庄野潤三,,,,,,
小説家,1923,3,27,1996,9,29,,遠藤周作,一貫して日本の精神風土とキリスト教の問題を追究する一方、ユーモア作品、歴史小説も多数ある。,,https://www.shinchosha.co.jp/images_v2/writer/977.jpg,,,
小説家,1924,3,7,1993,1,22,,安部公房,単に幻想文学にとどまらず、スリップストリームやメタフィクションといったポストモダン文学に顕著な技法を実践し、推し進めた前衛文学者として、世界的に評価が高い。,,https://pds.exblog.jp/pds/1/201810/16/98/f0368298_23293956.jpg,,,
小説家,1925,1,14,1970,11,25,,三島由紀夫,修辞に富んだ絢爛豪華で詩的な文体、古典劇を基調にした人工性・構築性にあふれる唯美的な作風が特徴。,,https://cdn.ironna.jp/file/8c882dff303db079fbbea65da93e753a.jpg,,,
小説家,1932,9,30,now,,,,石原慎太郎,現代の世相を鋭くえぐり出すのが特徴。初期作品は、若々しい情熱や生々しい風俗描写、反倫理的な内容が賛否両論を巻き起こした。政界進出以降、発表する作品数は減ったものの、一貫して創作活動を行った。,,"https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQQISGRoFovvptLp3GnptLcoZSWw8AU6yWohG830lY985UtjJW7&usqp=CAU
",,,
小説家,1935,1,31,now,,,,大江健三郎,サルトルの実存主義の影響を受けた作家として登場し、戦後の青年の閉塞感を描き、新鋭作家と目された。現代文学の旗手と位置づけられるようになる。その後、バシュラールの想像力論やバフチンやロシア・フォルマリズムの理論などを参照しながら独自の文学を作り上げていく。核兵器や国家主義などの社会・政治的な問題、知的障害者である長男（作曲家の大江光）との共生の体験、故郷である四国の森の谷間の村の歴史や伝承、夥しい読書から導かれた世界観、これらの主題を重ね合わせた作品世界を作り上げた。,,https://cdn.ironna.jp/file/bd1f3926bb1399b22ec8a91b4339446f.jpg,,,
小説家,1963,3,6,now,,,,重松清,,,,,,
小説家,1968,6,2,2013,10,10,,清水博子,,,,,,
小説家,1971,5,25,now,,,,伊坂幸太郎,,,,,,
小説家,1871,2,28,1902,12,24,,高山樗牛,,,,,,
小説家,1909,6,19,1948,6,13,,太宰治,,,,,,
小説家,1972,11,29,now,,,,田中慎弥,,,,,,
小説家,1959,10,4,now,,,,辻仁成,,,,,,
小説家,1879,12,3,1959,4,30,,永井荷風,,,,,,
小説家,1885,5,22,1965,5,3,,中勘助,,,,,,
小説家,1977,9,2,now,,,,中村文則,,,,,,
小説家,1867,2,9,1916,12,9,,夏目漱石,,,,,,
小説家,1967,7,12,now,,,,西村賢太,,,,,,
小説家,1886,11,1,1942,5,11,,萩原朔太郎,,,,,,
小説家,1985,10,19,now,,,,羽田圭介,,,,,,
小説家,1907,1,25,1960,1,24,,火野葦平,,,,,,
小説家,1969,8,18,now,,,,誉田哲也,,,,,,
小説家,1980,6,2,now,,,,又吉直樹,,,,,,
小説家,1909,12,21,1992,8,4,,松本清張,,,,,,
小説家,1896,8,27,1933,9,21,,宮沢賢治,,,,,,
小説家,1947,3,6,now,,,,宮本輝,,,,,,
小説家,1912,3,27,1977,8,3,,吉田健一,,,,,,
