Year,Month,Day,時間,内容
Year,Month,Day,時間,内容
2018,9,7,10:14:58,アクセスログの初日
,,19,12:56:38,192.168.11.204がuserlist.phpでのSQLinjectionが発覚
,,,13:02:55,192.168.11.204の不正ファイルアップロードが発覚
,,,14:23:21,192.168.11.204がuserlist.phpでのSQLinjectionを終了する
,,,14:38:19,192.168.11.122によるreaddiary.phpのSQLinjectionが発覚
,,,15:18:00,DirtyCowを利用したcronスケジューラの書き換えと権限昇格の初動を確認
,,,18:01:12,192.168.11.122によるSQLinjectionが終了
,,21,14:39:12,192.168.11.204によるMySQLへの不正ログインが発覚
,,,14:49:37,192.168.11.204によるMySQLへの不正ログインが終了
,,26,10:54:00,192.168.11.204によるsshでの不正アクセスの初動が発覚
,,,10:59:01,ユーザのID/Passwordの取得を意図したページ改ざんが発覚
,,,14:10:44,アクセス制御不備とCSRFを 利用した日記の不正改変が発覚
,,,14:10:44,Stored-XSSを利用したスパム日記の１件目が発覚
,,28,14:02:19,192.168.11.143による MySQLへの不正ログインが発覚
,,,14:47:16,MySQLDump によるDBデータの取得
,,,15:17:23,192.168.11.143によるMySQLへの不正ログインが終了
,,,15:42:46,192.168.11.143によるSendmessageでの不正ファイルアップロードによるWebshellの設置が発覚
,,,17:20:23,192.168.11.143によるWebshellへのアクセス終了
,,,18:09:11,192.168.11.204がindexページの改ざん
,,,10:56:43,サービスの最終終了を確認
