Year,Month,Title,Detail
1998,3,キユーピー株式会社入社,もともとは広告、マスコミ希望だったが当時は縁がなく食品メーカーに入社
2000,9,キユーピー株式会社退社,POP作成やりがいを感じグラフィックデザインを勉強しようと決める
2001,7,Web制作会社のクォードムーン株式会社に入社,デザイナーではなくWEBディレクターとして配属
2002,2,クォードムーン株式会社を退社,WEBという視点だけでなく企業の全体の中でのWEBの役割を知りたいと思ったため
2002,3,株式会社　博報堂に派遣スタッフとして勤務,ゼミの先輩の紹介によりWEBプロモーションを手掛けている部署へ配属
2003,10,派遣契約満了,ワーホリでの渡仏・ゆくゆくはファッション＋webの世界で働きたいという気持ちが出てきたため
2004,1,ワーホリでフランスへ,ランジェリーの展示会を見に行ったり個人輸入通販サイトでの買い付け業務の仕事を経験
2005,2,日本に帰国,帰国後に転職活動するも苦戦
2005,5,バリューコマース株式会社に入社,やりたいことに就くことができず、経済的条件を優先する
2005,8,株式会社トライサーキット入社,元博報堂の方の会社立ち上げに参加することを決める
2005,12,株式会社トライサーキット契約満了（業績不振により）,会社がなくなり、本来やりたかったファッションに関わる仕事に軌道修正すると決める
2006,1,"株式会社GSIクレオスモルガン課にアルバイトとして勤務 
プレスアシスタントを担当",アルバイトにてプレス、販促担当。（先輩と2名体制）雑誌社へのアプローチに楽しみを覚える
2006,8,株式会社エニグモに入社,会社に遊びに行くと面接のような場になり採用に。WEB＋ファッションでやりたかった仕事につくことができた
2010,2,業績不振によりやむを得ず退社,働き方や自分との向き合い方を考えるきっかけになる出来事（強制終了）
2010,8,株式会社パルコデジタルマーケティングでECモール担当、ディレクターとして入社,ECモールの担当とディレクターとして配属
2013,8,株式会社パルコへ出向,
2014,10,産休&出産,
2015,5,株式会社パルコデジタルマーケティングに復職,離婚をしたためすぐ時短という勤務形態で復職
2016,12,時短という枠、自分の中でのキャリアに対する枠に対して疑問を持ち始める,年齢やキャリア、母であることを理由にやりたいことができていないということに気がつくがすぐに安定したポジションを手放す勇気が出ず。
2017,6,株式会社パルコデジタルマーケティングを退社,挑戦を続けようと決意する
2017,12,株式会社リバコに派遣スタッフとして勤務（ランジェリー販売）,つなぎとしてではあるが、興味のあったインポートランジェリーを銀座三越で販売。だが販売するだけでは物足りず。
2018,3,派遣スタッフ契約満了（転職活動再開）,
2018,5,株式会社インチャージにてEC担当として勤務開始,自社のECモール担当として配属
