Group,Year,End Year,Title,Detail,URL,Image URL,Image Credit,Type,Color
Film Theory,1879,1923,Ricciotto Canudo,"未来主義・ダダイスム
「第七芸術宣言」（1911）
『イメージの工場』（1927）
ピカソ、ラヴェル、ロダン、アポリネール、レジェ",,,,,
Film Theory,1890,1924,◆Louis Delluc,"『シネマ・エ・コンパニー』（1919）
『フォトジェニー』（1920）etc.
映画雑誌『フィルム』／『シネア』編集。
寄稿者はコクトー、コレット、アポリネール、アントワーヌ／
デュラック、ガンス、レルビエ、エプスタン等
フォトジェニー論の先駆",,,,,
Film Theory,1890,1962,Léon Moussinac,"『映画の誕生』（1925）
『ソヴィエトの映画』（1928）etc.
ソヴィエト映画界との交流",,,,,
Film Theory,1893,1953,Vsevolod Pudovkin,『映画俳優論』（1934）,,,,,
Film Theory,1896,1954,◆Dziga Vertov,"""kino-eye""",,,,,
Film Theory,1897,1953,◆Jean Epstein,"シュルレアリスム
『ボンジュール・シネマ』（1921）
『エトナ山から見た映画』（1926）
『機械の知性』（1946）
『悪魔の映画』（1947）
『映画の精神』（1955）etc.",,,,,
Film Theory,1898,1948,◆Sergei Eisenstein,"「アトラクションのモンタージュ」（1923）
『無関心な自然ではなく』（1946）",,,,,
Film Theory,1899,1970,◆Lev Kuleshov,クレショフ効果の実験（1922）,,,,,
Philosophy,1859,1938,Edmund Husserl,"『イデーンⅠ』（1913）
『ヨーロッパ諸学の危機と超越論的現象学』（1935）etc.",,,,,
Philosophy,1859,1941,Henri Bergson,"『創造的進化』（1907）
「ベルクソン、映画を語る」（1914）etc.",,,,,
Philosophy,1874,1945,Ernst Cassirer,『シンボル形式の哲学』（1923）etc.,,,,,
Linguistics,1857,1913,Ferdinand de Saussure,『一般言語学講義』（1916）etc.,,,,,
Linguistics,1886,1959,Boris Eikhenbaum,"ロシア・フォルマリズム
「映画文体論の諸問題」（1927）",,,,,
Linguistics,1893,1984,Viktor Shklovsky,"ロシア・フォルマリズム
「言葉の復活」（1914）
「手法としての芸術」（1917）",,,,,
Linguistics,1896,1982,Roman Jakobson,"ロシア・フォルマリズム／モスクワ言語サークル／プラハ言語学派
「最も新しいロシア詩」（1919）
「芸術におけるリアリズムについて」（1921）
「言語の二つの面と失語症の二つのタイプ」（1956）
「言語本質の探求」（1962）",,,,,
Aesthetics,1892,1968,Erwin Panofsky,"「象徴形式としての遠近法」（1927）
「映画における様式と媒体」（1936）
『イコノロジー研究』（1939）etc.",,,,,
Aesthetics,1904,2007,Rudolph Arnheim,"『芸術としての映画』（1932）
『美術と視覚』（1954）etc.",,,,,
Aesthetics,1909,2001,Ernst Gombrich,"『美術の歩み』（1950）
『芸術と幻影』（1960）etc.",,,,,
Literature,1821,1867,Charles Baudelaire,"象徴主義
『1846年のサロン』（1846）
『悪の華』（1857）「万物照応」etc.",,,,,
Literature,1842,1898,Stéphane Mallarmé,"象徴主義
「火曜会」主催。",,,,,
Literature,1854,1891,Arthur Rimbaud,"象徴主義
「見者の手紙」（1871）etc.",,,,,
Literature,1856,1910,Jean Moréas,"象徴主義
「象徴主義宣言 Le Symbolism」（1886）",,,,,
Literature,1871,1945,Paul Valéry,"象徴主義
ルノワール、ドガらとの交流。火曜会出席者",,,,,
Literature,1876,1944,◇Filippo Tommaso Marinetti,"未来主義
『未来主義宣言』（1909）
ベルクソンへの傾倒、フランス象徴主義の紹介者",,,,,
Literature,1889,1963,◆Jean Cocteau,"詩人。小説、劇作、評論の他、映画監督・脚本も手掛ける。
プルースト、ニジンスキー、ストラヴィンスキー、ピカソ、モディリアー二",,,,,
Literature,1896,1948,◇Antonin Artaud,"シュルレアリスム
俳優・脚本の他、映画論多数",,,,,
Art,1882,1916,Umberto Boccioni,"未来主義・彫刻家
『空間における連続性の唯一の形態』",,,,,
Art,1890,1960,◆Anton Giulio Bragaglia,"未来主義（後に放逐）・写真家
フォト・ディナミカ",,,,,
