Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title
UK,-27,,,,448,,,,,ローマ帝国(ブリタニア)
UK,449,,,,829,,,,,アングロ・サクソン七王国
UK,830,,,,1066,,,,,アングロ・サクソン王国
UK,1066,,,,1154,,,,,ノルマン朝
UK,1154,,,,1399,,,,,プランタジネット朝
UK,1399,,,,1461,,,,,ランカスター朝
UK,1461,,,,1485,,,,,ヨーク朝
UK,1485,,,,1603,,,,,テューダー朝
UK,1603,,,,1649,,,,,ステュアート朝
UK,1649,,,,1660,,,,,イギリス共和政
UK,1660,,,,1714,,,,,後期ステュアート朝
UK,1714,,,,now,,,,,ハノーヴァー・ウィンザー朝
ノルマン朝,1066,,,,1087,,,,,(在)ウィリアム1世
プランジネット朝,1154,,,,1189,,,,,(在)ヘンリ2世(フランス血統)
プランジネット朝,1189,,,,1199,,,,,(在)リチャード1世
プランジネット朝,1199,,,,1216,,,,,(在)ジョン王(ヘンリ2世の子)
プランジネット朝,1216,,,,1272,,,,,(在)ヘンリ3世
プランジネット朝,1272,,,,1307,,,,,(在)エドワード1世(ヘンリ3世の子)
プランジネット朝,1307,,,,1327,,,,,(在)エドワード2世
プランジネット朝,1327,,,,1377,,,,,(在)エドワード3世(父エドワード2世、母カペー朝[フランス])
ランカスター朝,1399,,,,1413,,,,,(在)ヘンリ4世(エドワード3世のランカスター公の家系)
ランカスター朝,1413,,,,1422,,,,,(在)ヘンリ5世
ランカスター朝,1422,,,,1461,,,,,(在)ヘンリ6世
ヨーク朝,1483,,,,1485,,,,,(在)リチャード3世(エドワード3世のヨーク公の家系)
テューダー朝,1485,,,,1509,,,,,(在)ヘンリ7世(ランカスター系、リチャード3世の姪と結婚)
テューダー朝,1509,,,,1547,,,,,(在)ヘンリ8世(イギリス国教会を成立)
テューダー朝,1547,,,,1553,,,,,(在)エドワード6世
テューダー朝,1553,,,,1558,,,,,(在)メアリ1世(スペイン王子フェリペと結婚/カトリック復活)
テューダー朝,1558,,,,1603,,,,,(在)エリザベス1世
ステュアート朝,1603,,,,1625,,,,,(在)ジェームズ1世(スコットランド出身、ヘンリー7世の長女の孫)
ステュアート朝,1625,,,,1649,,,,,(在)チャールズ1世
後期ステュアート朝,1660,,,,1685,,,,,(在)チャールズ2世(カトリック)
後期ステュアート朝,1685,,,,1688,,,,,(在)ジェームズ2世(カトリック)
後期ステュアート朝,1689,,,,1702,,,,,(在)ウィリアム3世(オランダ総督のウィレム3世)
後期ステュアート朝,1689,,,,1694,,,,,(在)メアリ2世(ジェームス2世の長女)
後期ステュアート朝,1702,,,,1714,,,,,(在)アン(メアリの妹)
ハノーヴァー朝,1714,,,,1727,,,,,(在)ジョージ1世(ドイツ出身、アンの遠縁、英語わからない)
戦争,375,,,,,,,,,ゲルマン民族の大移動(アングロサクソンが渡英)
戦争,1016,,,,,,,,,デーン人(デンマーク地方のノルマン人)の王Cnutがアングロサクソン王国を征服
戦争,1066,,,,,,,,,ノルマンディー公ウィリアムがヘースティングズの戦いに勝利(ノルマンコンクエスト)※ウィリアム1世
戦争,1201,,,,,,,,,イギリスが大陸側の領土(現フランス領)の大半を失う
戦争,1294,,,,1298,,,,,ギュイエンヌ・フランドルをめぐる争い(イギリス vs フランス)
戦争,1339,,,,1453,,,,,百年戦争(イギリス vs フランス)※エドワード3世がフランスの王位継承権を主張
戦争,1356,,,,,,,,,ポワティエの戦い(百年戦争の一部)※イギリスの勝利
戦争,1415,,,,,,,,,アザンクールの戦い(百年戦争の一部)
戦争,1455,,,,1485,,,,,バラ戦争(ランカスター・ヨーク家による王家継承の内乱)
戦争,1536,,,,,,,,,ウェールズ(ケルト系)のイギリス併合
戦争,1568,,,,1609,,,,,オランダ独立戦争(オランダ vs スペイン)※イギリスはオランダの独立を支援
戦争,1588,,,,,,,,,アルマダの海戦(イギリス vs スペイン)※イギリスがスペインの無敵艦隊を撃破する
戦争,1637,,,,,,,,,スコットランドの暴動
