Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Datail,URL,Image URL,Image Credit,Type,Color
ナワーブ年表,2007,4,1,,2008,3,25,,,高校時代（1）,陸上クラブで活躍,,,,,
ナワーブ年表,2008,4,1,,2009,3,25,,,高校時代（2）,イソップが転入してくる。陰口やいじめの対象になっていた彼を助けようと立ち動く,,,,,
ナワーブ年表,2009,4,1,,2010,3,25,,,高校時代（3）,イソップと仲良くなる。クラスメートが「イソップはゲイだ、気をつけろ」と告げ口をしてくるが一蹴する,,,,,
ナワーブ年表,2011,4,1,,,,,,,就職,高校卒業後、仕事に就くものの、夢や将来を失った虚しさは消えない。徐々に酒やギャンブルや女遊びにうつつを抜かすようになる（R18？）,,,,,
ナワーブ年表,2014,4,1,,,,,,,離職,,,,,,
ナワーブ年表,2013,,,,,,,,2013～2016,遊び人として暮らす,貢いでくれる男女には事欠かず、傲慢な王者のように暮らす。彼らを魅了するのもあしらうのも思うがままであり、刹那的な快楽や派手な散財も自由だが、満たされない日々を過ごす（R18？）,,,,,
ナワーブ年表,2017,,,,,,,,,イソップ・カールの個展の広告を目にする,取り巻きの1人が手にしていた広告で、イソップの現況を知る,,,,,
ナワーブ年表,2017,,,,,,,,,身体を壊す,取り巻きは少しずつ去って行き、自殺を考えるようになる,,,,,
ナワーブ年表,2018,1,12,,,,,,,イソップと再会、彼を強姦する,憎しみを募らせての行為だったが、イソップはそれを責めなかったどころか変わらぬ優しさや愛情を示したため、心を動かされる,,,,,
ナワーブ年表,2018,2,1,,,,,,,イソップと暮らし始める,次第に、イソップに対して酷い我が儘や要求をするようになる（複数回のR18？）,,,,,
ナワーブ年表,2020,1,15,,,,,,,心中の提案をする,イソップを試す気持ちが半分、本気が半分,,,,,
ナワーブ年表,2020,5,12,,,,,,,イソップへ、一緒に海へ行こうと提案する,自宅から持ち出したのは、イソップからの手紙だけ,,,,,
ナワーブ年表,2020,5,13,,,,,,,廃屋での一夜,イソップと、初めて両思い前提でのセックス（R18）,,,,,
ナワーブ年表,2020,5,14,,,,,,,心中,,,,,,
イソップ年表,2007,4,1,,2008,3,25,,,高校時代（1）,,,,,,
イソップ年表,2008,4,1,,2009,3,25,,,高校時代（2）,ナワーブのいる高校へと転入。陰口やいじめを受けるがナワーブのおかげで沈静化する。美術クラブへ入る,,,,,
イソップ年表,2009,4,1,,2010,3,25,,,高校時代（3）,ナワーブと仲良くなる,,,,,
イソップ年表,2010,4,1,,2014,3,25,,,美大時代,人形を制作するようになる,,,,,
イソップ年表,2014,4,1,,2016,3,25,,,大学院時代,,,,,,
イソップ年表,2017,5,23,,2017,8,4,,,イソップ・カール個展,相変わらず人形を作り続けている。美術界から絶賛されている,,,,,
イソップ年表,2018,1,12,,,,,,,ナワーブと再会,ナワーブから強姦されるが、変わらず彼を好きだったので優しさや愛情を示す。「僕が彼から憎まれるのは当然だ、償いになるなら何でもするのに」と思っている,,,,,
イソップ年表,2018,2,1,,,,,,,ナワーブと暮らし始める,イソップは、ナワーブからの要望であれば無理をしてでも応え続けようとする,,,,,
イソップ年表,2020,1,15,,,,,,,心中を提案される,驚くが「あなたが心からそう望むなら」と答える,,,,,
イソップ年表,2020,5,12,,,,,,,ナワーブから、一緒に海へ行こうと提案される,,,,,,
イソップ年表,2020,5,13,20：30,2020,5,14,5：00,,廃屋での一夜,ナワーブと。初めて両思い前提でのセックス（R18）,,,,,
イソップ年表,2020,5,14,,,,,,,心中,,,,,,
出来事,2008,4,7,,,,,,,イソップ転入,ナワーブの通う高校へイソップが転入してくる。ナワーブは、イソップが陰口やいじめの対象になっていたのを察すると、助けるために立ち動く,,,,,
出来事,2008,6,14,,,,,,,2人で映画を観に行く,イソップの好きなホラー映画を2人で一緒に観に行く,,,,,
