Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,Color
日本の総理大臣,2012,12,26,,now,,,,,安倍晋三,第96・97代,https://ja.wikipedia.org/wiki/%E5%AE%89%E5%80%8D%E6%99%8B%E4%B8%89,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Shinz%C5%8D_Abe_April_2015.jpg/1200px-Shinz%C5%8D_Abe_April_2015.jpg,,,
日本の総理大臣,2011,9,2,,2012,12,26,,,野田佳彦,第95代,https://ja.wikipedia.org/wiki/%E9%87%8E%E7%94%B0%E4%BD%B3%E5%BD%A6,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Yoshihiko_Noda-3.jpg/449px-Yoshihiko_Noda-3.jpg,"By Panetta_meets_with_Noda,_Oct._25,_2011.jpg: Leon E. Panettaderivative work: Daffy123 (Panetta_meets_with_Noda,_Oct._25,_2011.jpg) [<a href=""http://creativecommons.org/licenses/by/2.0"">CC BY 2.0</a>], <a href=""https://commons.wikimedia.org/wiki/File%3AYoshihiko_Noda-3.jpg"">via Wikimedia Commons</a>",,
日本の総理大臣,2010,6,8,,2011,9,2,,,菅直人,第94代,https://ja.wikipedia.org/wiki/%E8%8F%85%E7%9B%B4%E4%BA%BA,https://upload.wikimedia.org/wikipedia/commons/6/61/Naoto_Kan_cropped_3_Naoto_Kan_2_20110129.jpg,"By World Economic ForumCopyright by World Economic Forumswiss-image.ch / Photo by Remy Steinegger [<a href=""http://creativecommons.org/licenses/by-sa/2.0"">CC BY-SA 2.0</a>], <a href=""https://commons.wikimedia.org/wiki/File%3ANaoto_Kan_cropped_3_Naoto_Kan_2_20110129.jpg"">via Wikimedia Commons</a>",,
日本の総理大臣,2009,9,16,,2010,6,8,,,鳩山由紀夫,第93代,https://ja.wikipedia.org/wiki/%E9%B3%A9%E5%B1%B1%E7%94%B1%E7%B4%80%E5%A4%AB,https://upload.wikimedia.org/wikipedia/commons/c/c2/Hatoyama_Yukio_1-3.jpg,,,
日本の総理大臣,2008,9,24,,2009,9,16,,,麻生太郎,第92代,https://ja.wikipedia.org/wiki/%E9%BA%BB%E7%94%9F%E5%A4%AA%E9%83%8E,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Taro_Aso_in_World_Economic_Forum_Annual_Meeting_in_Davos_%28cropped%29.jpg/450px-Taro_Aso_in_World_Economic_Forum_Annual_Meeting_in_Davos_%28cropped%29.jpg,"By Copyright by {http://www.weforum.org World Economic Forum] (www.weforum.org), swiss-image.ch/Photo by Sebastian Derungs [CC BY-SA 2.0 (http://creativecommons.org/licenses/by-sa/2.0)], via Wikimedia Commons",,
日本の総理大臣,2007,9,26,,2008,9,24,,,福田康夫,第91代,https://ja.wikipedia.org/wiki/%E7%A6%8F%E7%94%B0%E5%BA%B7%E5%A4%AB,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fukuda_Yasuo_1-3.jpg/450px-Fukuda_Yasuo_1-3.jpg,,,
日本の総理大臣,2006,9,26,,2007,9,26,,,安倍晋三,第90代,https://ja.wikipedia.org/wiki/%E5%AE%89%E5%80%8D%E6%99%8B%E4%B8%89,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Shinz%C5%8D_Abe_April_2015.jpg/1200px-Shinz%C5%8D_Abe_April_2015.jpg,,,
日本の総理大臣,2001,4,26,,2006,9,26,,,小泉純一郎,第87・88・89代,https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%B3%89%E7%B4%94%E4%B8%80%E9%83%8E,https://upload.wikimedia.org/wikipedia/commons/5/57/Junichiro_Koizumi_%28cropped%29_during_arrival_ceremony_on_South_Lawn_of_White_House.jpg,,,
日本の総理大臣,2000,4,5,,2001,4,26,,,森喜朗,,https://ja.wikipedia.org/wiki/%E6%A3%AE%E5%96%9C%E6%9C%97,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Yoshiro_Mori_cropped_2_Tim_Hitchens_and_Yoshiro_Mori_20150623.jpg/447px-Yoshiro_Mori_cropped_2_Tim_Hitchens_and_Yoshiro_Mori_20150623.jpg,"By British photographer David BaileyBritish Embassy Tokyo / Alfie GoodrichUK in Japan- FCO [<a href=""http://creativecommons.org/licenses/by/2.0"">CC BY 2.0</a>], <a href=""https://commons.wikimedia.org/wiki/File%3AYoshiro_Mori_cropped_2_Tim_Hitchens_and_Yoshiro_Mori_20150623.jpg"">via Wikimedia Commons</a>",,
日本の総理大臣,1998,7,30,,2000,4,5,,,小渕恵三,,https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%B8%95%E6%81%B5%E4%B8%89,https://upload.wikimedia.org/wikipedia/commons/1/13/Keizo_Obuchi.jpg,,,
日本の総理大臣,1996,1,11,,1998,7,30,,,橋本龍太郎,,https://ja.wikipedia.org/wiki/%E6%A9%8B%E6%9C%AC%E9%BE%8D%E5%A4%AA%E9%83%8E,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Hashimoto_Ry%C5%ABtar%C5%8D.jpg/454px-Hashimoto_Ry%C5%ABtar%C5%8D.jpg,,,
日本の総理大臣,1994,6,30,,1996,1,11,,,村山富市,,https://ja.wikipedia.org/wiki/%E6%9D%91%E5%B1%B1%E5%AF%8C%E5%B8%82,,,,
日本の総理大臣,1994,4,28,,1994,6,30,,,羽田孜,,https://ja.wikipedia.org/wiki/%E7%BE%BD%E7%94%B0%E5%AD%9C,,,,
日本の総理大臣,1993,8,9,,1994,4,28,,,細川護煕,,https://ja.wikipedia.org/wiki/%E7%B4%B0%E5%B7%9D%E8%AD%B7%E7%86%99,,,,
日本の総理大臣,1991,11,5,,1993,8,9,,,宮澤喜一,,https://ja.wikipedia.org/wiki/%E5%AE%AE%E6%BE%A4%E5%96%9C%E4%B8%80,https://upload.wikimedia.org/wikipedia/commons/c/c7/Kiichi.jpg,,,
アメリカ大統領,2017,1,20,,now,,,,,ドナルド・トランプ,,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89%E3%83%BB%E3%83%88%E3%83%A9%E3%83%B3%E3%83%97,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Donald_Trump_by_Gage_Skidmore_10.jpg/404px-Donald_Trump_by_Gage_Skidmore_10.jpg,"Gage Skidmore [<a href=""http://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>], <a href=""https://commons.wikimedia.org/wiki/File%3ADonald_Trump_by_Gage_Skidmore_10.jpg"">via Wikimedia Commons</a>",,
アメリカ大統領,2009,1,20,,2017,1,20,,,バラク・オバマ,,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%A9%E3%82%AF%E3%83%BB%E3%82%AA%E3%83%90%E3%83%9E,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/480px-President_Barack_Obama.jpg,,,
アメリカ大統領,2001,1,20,,2009,1,20,,,ジョージ・W・ブッシュ,,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B8%E3%83%BBW%E3%83%BB%E3%83%96%E3%83%83%E3%82%B7%E3%83%A5,https://upload.wikimedia.org/wikipedia/commons/d/d4/George-W-Bush.jpeg,,,
アメリカ大統領,1993,1,20,,2001,1,20,,,ビル・クリントン,,https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%AB%E3%83%BB%E3%82%AF%E3%83%AA%E3%83%B3%E3%83%88%E3%83%B3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/459px-Bill_Clinton.jpg,,,
