Group,Year,Month,Day,Time,End Year,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
国際経営,1990,,,,,,BD,,,,,,
世界,1914,,,,1918,,WW1,,,,,,
世界,1929,,,,1939,,世界恐慌,,,,,,
世界,1939,,,,1945,,WW2,,,,,,
日本,1904,,,,1905,,日露戦争,,,,,,
日本,1920,,,,,,戦後恐慌,,,,,,
日本,1923,,,,,,関東大震災,,,,,,
日本,1927,,,,1931,,昭和恐慌,,,,,,
日本綿花,1905,,,,1930,,奥地直買,,,,,,
日本綿花,,,,,,,,,,,,,
三井物産,1905,,,,1920,,奥地直買,,,,,,
三井物産,1920,,,,,,奥地直買から撤退,,,,,,
内外綿,1905,,,,1907,,自社で紡績,,,,,,
三井物産,1920,,,,,,東洋棉花へ分離,,,,,,
市場,1920,,,,,,インド：流通過程での不正の減少 出目の減少,,,,,,
市場,1906,,,,,,紡績企業：インド綿→アメリカ綿 ,,,,,,
市場,1920,3,,,1920,,綿糸相場の暴落,,,,,,
日本綿花,1917,,,,1928,,多角化（繊維内部）,,,,,,
三井物産,1920,,,,1930,,綿花・綿糸限定,,,,,,
日本綿花,1939,,,,1945,,多角化（他業種）,,,,,,
世界,1950,,,,1953,,朝鮮戦争,,,,,,
日本綿花,1953,,,,1960,,総合商社化,,,,,,
