Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,URL,Image URL,Image Credit,Type,Color
アメリカ空軍,1945,,,,1979,,,,,(1945～1970年代),,,,,
アメリカ空軍,1946,,,,1953,,,,,(1946～1953年),,,,,
アメリカ空軍,1947,,,,1958,,,,,(1947～1958年),,,,,
アメリカ空軍,1954,,,,1971,,,,,(1954～1971年),,,,,
アメリカ空軍,1949,,,,1965,,,,,(1949～1965年),,,,,
アメリカ空軍,1951,,,,1965,,,,,(1951～1965年),,,,,
アメリカ空軍,1950,,,,1968,,,,,(1950～1968年),,,,,
アメリカ空軍,1950,,,,1960,,,,,(1950～1960年),,,,,
アメリカ空軍,1953,,,,1970,,,,,(1953～1970年),,,,,
アメリカ空軍,1957,,,,1985,,,,,(1957～1985年),,,,,
アメリカ空軍,1956,,,,1976,,,,,(1956～1976年),,,,,
アメリカ空軍,1958,,,,1969,,,,,(1958～1969年),,,,,
アメリカ空軍,1961,,,,1966,,,,,(1961～1966年),,,,,
アメリカ空軍,1958,,,,1984,,,,,(1958～1984年),,,,,
アメリカ空軍,1959,,,,1988,,,,,(1959～1988年),,,,,
アメリカ空軍,1960,,,,1996,,,,,(1960～1996年),,,,,
アメリカ空軍,1967,,,,1998,,,,,(1967～1998年),,,,,
アメリカ空軍,1976,,,,2009,,,,,(1976～2009年),,,,,
アメリカ空軍,1980,,,,now,,,,,(1980～現在),,,,,
アメリカ空軍,1978,,,,2007,,,,,(1978～2007),,,,,
アメリカ空軍,1984,,,,now,,,,,(1984～現在),,,,,
アメリカ空軍,1988,,,,now,,,,,(1988～現在),,,,,
アメリカ空軍,2005,,,,now,,,,,(2005～現在),,,,,
アメリカ空軍,2016,,,,now,,,,,(2016～現在),,,,,
アメリカ海軍,1945,,,,1947,,,,,(1945～1947年),,,,,
アメリカ海軍,1947,,,,1954,,,,,(1947～1954年),,,,,
アメリカ海軍,1947,,,,1953,,,,,(1947～1953年),,,,,
アメリカ海軍,1954,,,,1957,,,,,(1954～1957年),,,,,
アメリカ海軍,1955,,,,1962,,,,,(1955～1962年),,,,,
アメリカ海軍,1948,,,,1961,,,,,(1948～1961年),,,,,
アメリカ海軍,1950,,,,1970,,,,,(1950～1970年),,,,,
アメリカ海軍,1956,,,,1964,,,,,(1956～1964年),,,,,
アメリカ海軍,1956,,,,1964,,,,,(1956～1964年),,,,,
アメリカ海軍,1951,,,,1959,,,,,(1951～1959年),,,,,
アメリカ海軍,1951,,,,1974,,,,,(1951～1974年),,,,,
アメリカ海軍,1960,,,,1987,,,,,(1960～1987年),,,,,
アメリカ海軍,1957,,,,1987,,,,,(1957～1987年),,,,,
アメリカ海軍,1956,,,,1961,,,,,(1956～1961年),,,,,
アメリカ海軍,1974,,,,2006,,,,,(1974～2006年),,,,,
アメリカ海軍,1983,,,,now,,,,,(1983～現在),,,,,
アメリカ海軍,1999,,,,now,,,,,(1999～現在),,,,,
アメリカ海軍,2019,,,,now,,,,,(2019～現在),,,,,
アメリカ海兵隊,1947,,,,1949,,,,,(1947～1949年),,,,,
アメリカ海兵隊,1966,,,,1968,,,,,(1966～1968年),,,,,
アメリカ海兵隊,1962,,,,1992,,,,,(1962～1987年),,,,,
アメリカ海兵隊,1957,,,,1987,,,,,(1957～1987年),,,,,
アメリカ海兵隊,1980,,,,now,,,,,(1980～現在),,,,,
アメリカ海兵隊,2015,,,,now,,,,,(2015～現在),,,,,
航空自衛隊,1955,,,,1982,,,,,(1955～1982年),,,,,
航空自衛隊,1958,,,,1968,,,,,(1958～1968年),,,,,
航空自衛隊,1962,,,,1986,,,,,(1962～1986年),,,,,
航空自衛隊,1977,,,,2006,,,,,(1977～2006年),,,,,
航空自衛隊,1971,,,,2021,,,,,(1971～2021年),,,,,
航空自衛隊,1989,,,,2021,,,,,(1989～2021年),,,,,
航空自衛隊,1981,,,,now,,,,,(1981～現在),,,,,
航空自衛隊,2000,,,,now,,,,,(2000～現在),,,,,
航空自衛隊,2016,,,,now,,,,,(2016～現在),,,,,
航空自衛隊,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
韓国空軍,,,,,,,,,,,,,,,
