Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
年号,2019,5,,,now,,,,,令和,,,,,,
年号,1989,,,,2019,4,,,,平成,,,,,,
年号,1926,,,,1988,,,,,昭和,,,,,,
年号,1912,,,,1926,,,,,大正,,,,,,
年号,1868,,,,1912,,,,,明治,,,,,,
大原總一郎,1909,,,,1968,,,,,大原總一郎,,,https://static.sanyonews.jp/image/article/786x590/3/3/2/f/332f644c374f83791c64964042a11379_1.jpg,,box,
高梁川流域連盟,1954,,,,,,,,,高梁川流域連盟発足,,,http://takahashiryuiki.sakura.ne.jp/wp2019/wp-content/uploads/2015/11/top-work10.gif,,box,
高梁川流域学校,2014,,,,now,,,,"高梁川MT
・備中志塾 etc.",高梁川流域学校発足,,,http://liton.sakura.ne.jp/wp/wp-content/uploads/2015/06/rogo11.png,,box,
歴史的な出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
歴史的な出来事,1955,,,,1973,,,,,高度経済成長,,,,,,
歴史的な出来事,1995,,,,2001,,,,,インターネットバブル,,,,,,
歴史的な出来事,2011,3,11,,,,,,,東日本大震災,,,,,,
流域の出来事,1930,,,,,,,,,大原美術館開館,,,,,,
流域の出来事,1943,,,,,,,,,水島コンビナート開発,,,,,,
流域の出来事,1969,,,,,,,,,「倉敷川畔特別美観地区」指定,,,,,,
流域の出来事,2003,,,,,,,,,「GREEN DAY」発足,,,,,,
流域の出来事,2011,,,,,,,,,「GREEN DAYS COLLEGE」発足,,,,,,
流域の出来事,2018,7,7,,,,,,,西日本豪雨災害,,,,,,
