Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
日本の時代区分,1989,,,,now,,,,,平成,,,,,,
日本の時代区分,1926,,,,1988,,,,,昭和,,,,,,
日本の時代区分,1912,,,,1926,,,,,大正,,,,,,
日本の時代区分,1868,,,,1912,,,,,明治,,,,,,
日本の時代区分,1588,,,,1867,,,,,江戸,,,,,,
日本の時代区分,1573,,,,1603,,,,,安土桃山,,,,,,
日本の時代区分,1336,,,,1573,,,,,室町時代,,,,,,
日本の時代区分,1185,,,,1333,,,,,鎌倉時代,,,,,,
日本の時代区分,794,,,,1185,,,,,平安時代,,,,,,
日本の時代区分,645,,,,794,,,,,奈良時代,,,,,,
日本の時代区分,580,,,,645,,,,6世紀末～645年,飛鳥時代,,,,,,
日本の時代区分,250,,,,700,,,,3世紀後半～8世紀初頭,古墳時代,,,,,,
日本の時代区分,-500,,,,250,,,,紀元前6世紀～3世紀,弥生時代,,,,,,
