Group,Title,Year,Month,Day,Time,Detail,last,End Year,End Month,End Day,End Time,Display Date,URL,Image URL,Image Credit,Type,Head
FC,ドンキーコング,1983,7,15,,,,,,,,,,,,,
FC,ゼビウス,1983,9,7,,,,,,,,,,,,,
FC,マリオブラザース,1983,9,9,,保持,end,,,,,,,,,,
FC,パックマン,1984,11,2,,,,,,,,,,,,,
FC,エキサイトバイク,1984,11,30,,,,,,,,,,,,,
FC,バルーンファイト,1985,1,22,,,,,,,,,,,,,
FC,アイスクライマー,1985,1,30,,,,,,,,,,,,,
FC,キン肉マン マッスルタッグマッチ,1985,11,8,,,,,,,,,,,,,
FC,忍者じゃじゃ丸くん,1985,11,15,,,,,,,,,,,,,
FC,スペランカー,1985,12,7,,,,,,,,,,,,,
FC,ボンバーマン,1985,12,20,,,,,,,,,,,,,
FC,ツインビー,1986,1,4,,,,,,,,,,,,,
FC,グラディウス,1986,4,25,,,,,,,,,,,,,
FC,魔界村,1986,6,13,,,,,,,,,,,,,
FC,高橋名人の冒険島,1986,9,12,,,,,,,,,,,,,
FC,ドラゴンボール 神龍の謎,1986,11,27,,,,,,,,,,,,,
FC,トランスフォーマー コンボイの謎,1986,12,5,,,,,,,,,,,,,
FC,ドラゴンクエストII 悪霊の神々,1987,1,26,,,,,,,,,,,,,
FC,熱血硬派くにおくん,1987,4,17,,,,,,,,,,,,,
FC,燃えろ!!プロ野球,1987,6,26,,,,,,,,,,,,,
FC,聖闘士星矢 黄金伝説,1987,8,10,,,,,,,,,,,,,
FC,つっぱり大相撲,1987,9,18,,,,,,,,,,,,,
FC,ドラゴンクエストIII そして伝説へ…,1988,2,10,,,end,,,,,,,,,,
FC,熱血高校ドッジボール部,1988,7,26,,,end,,,,,,,,,,
FC,ドラゴンボール 大魔王復活,1988,8,12,,,,,,,,,,,,,
FC,イース,1988,8,26,,保持,,,,,,,,,,,
FC,スーパーマリオブラザーズ3,1988,10,23,,,end,,,,,,,,,,
FC,半熟英雄,1988,12,2,,,,,,,,,,,,,
FC,忍者龍剣伝,1988,12,9,,,,,,,,,,,,,
FC,プロ野球ファミリースタジアム'88,1988,12,20,,,,,,,,,,,,,
FC,テトリス,1988,12,22,,,,,,,,,,,,,
FC,ロックマン2 Dr.ワイリーの謎,1988,12,24,,保持,,,,,,,,,,,
FC,ワギャンランド,1989,2,9,,,,,,,,,,,,,
FC,ドラゴンクエストIV 導かれし者たち,1989,2,11,,,,,,,,,,,,,
GB,スーパーマリオランド,1989,4,21,,,,,,,,,,,,,
FC,ダウンタウン熱血物語,1989,4,25,,,end,,,,,,,,,,
FC,ファイナルファンタジーIII,1989,4,27,,,,,,,,,,,,,
GB,テトリス,1989,6,14,,,,,,,,,,,,,
FC,熱血高校ドッジボール部 サッカー編,1990,5,18,,,,,,,,,,,,,
FC,ドクターマリオ,1990,7,27,,,,,,,,,,,,,
FC,SDガンダム外伝 ナイトガンダム物語,1990,8,10,,保持,end,,,,,,,,,,
FC,ロックマン3 Dr.ワイリーの最期!?,1990,9,28,,,,,,,,,,,,,
FC,ダウンタウン熱血行進曲 それゆけ大運動会,1990,10,12,,,end,,,,,,,,,,
SFC,スーパーマリオワールド,1990,11,21,,,end,,,,,,,,,,
SFC,F-ZERO,1990,11,21,,,,,,,,,,,,,
FC,パロディウスだ!,1990,11,30,,保持,,,,,,,,,,,
FC,ワギャンランド2,1990,12,14,,,,,,,,,,,,,
SFC,パイロットウイングス,1990,12,21,,,,,,,,,,,,,
SFC,ファイナルファイト,1990,12,21,,,,,,,,,,,,,
FC,SDガンダムワールド ガチャポン戦士3 英雄戦記,1990,12,22,,保持,end,,,,,,,,,,
FC,スーパーチャイニーズ3,1991,3,1,,,,,,,,,,,,,
FC,まじかる☆タルるートくん FANTASTIC WORLD!!,1991,3,21,,保持,end,,,,,,,,,,
SFC,シムシティ,1991,4,26,,,,,,,,,,,,,
SFC,機動戦士ガンダムF91 フォーミュラー戦記0122,1991,7,6,,,,,,,,,,,,,
SFC,ファイナルファンタジーIV,1991,7,19,,,end,,,,,,,,,,
SFC,がんばれゴエモン〜ゆき姫救出絵巻〜,1991,7,19,,,end,,,,,,,,,,
SFC,バトルドッジボール 闘球大激突!,1991,7,20,,,,,,,,,,,,,
FC,ダウンタウンスペシャル くにおくんの時代劇だよ全員集合!,1991,7,26,,保持,end,,,,,,,,,,
MD,ソニック・ザ・ヘッジホッグ,1991,7,26,,,,,,,,,,,,,
FC,へべれけ,1991,9,20,,,,,,,,,,,,,
SFC,超魔界村,1991,10,4,,,,,,,,,,,,,
SFC,ゼルダの伝説 神々のトライフォース,1991,11,21,,,,,,,,,,,,,
FC,ロックマン4 新たなる野望!!,1991,12,6,,,,,,,,,,,,,
SFC,スーパーワギャンランド,1991,12,13,,,,,,,,,,,,,
FC,ヨッシーのたまご,1991,12,14,,,,,,,,,,,,,
SFC,レミングス,1991,12,18,,,,,,,,,,,,,
FC,第2次スーパーロボット大戦,1991,12,19,,,,,,,,,,,,,
SFC,スーパーファイヤープロレスリング,1991,12,20,,,,,,,,,,,,,
SFC,SDガンダム外伝 ナイトガンダム物語 大いなる遺産,1991,12,21,,,,,,,,,,,,,
SFC,スーパーチャイニーズワールド,1991,12,28,,,,,,,,,,,,,
SFC,ドラゴンボールZ 超サイヤ伝説,1992,1,25,,,end,,,,,,,,,,
FC,いけいけ!熱血ホッケー部 すべってころんで大乱闘,1992,2,7,,,end,,,,,,,,,,
SFC,弟切草,1992,3,7,,,,,,,,,,,,,
SFC,新世紀GPXサイバーフォーミュラ,1992,3,19,,,,,,,,,,,,,
SFC,ファイナルファイト・ガイ,1992,3,20,,,end,,,,,,,,,,
SFC,スーパーファミスタ,1992,3,27,,,,,,,,,,,,,
SFC,らんま1/2 町内激闘篇,1992,3,27,,,end,,,,,,,,,,
SFC,摩訶摩訶,1992,4,24,,,,,,,,,,,,,
GB,星のカービィ,1992,4,27,,,end,,,,,,,,,,
SFC,ストリートファイターII,1992,6,20,,,end,,,,,,,,,,
FC,びっくり熱血新記録! はるかなる金メダル,1992,6,26,,,end,,,,,,,,,,
SFC,マリオペイント,1992,7,14,,,,,,,,,,,,,
SFC,キャプテン翼III 皇帝の挑戦,1992,7,17,,,end,,,,,,,,,,
SFC,T.M.N.T. タートルズ イン タイム,1992,7,24,,,,,,,,,,,,,
SFC,スーパーF1サーカス,1992,7,24,,保持,,,,,,,,,,,
SFC,スーパー桃太郎電鉄II,1992,8,7,,,end,,,,,,,,,,
SFC,初代熱血硬派くにおくん,1992,8,7,,,end,,,,,,,,,,
SFC,スーパーマリオカート,1992,8,27,,保持,end,,,,,,,,,,
SFC,スーパーガチャポンワールド SDガンダムX,1992,9,12,,,end,,,,,,,,,,
SFC,ドラゴンクエストV 天空の花嫁,1992,9,27,,保持,end,,,,,,,,,,
SFC,ミッキーのマジカルアドベンチャー,1992,11,20,,,,,,,,,,,,,
SFC,餓狼伝説 宿命の闘い,1992,11,27,,,,,,,,,,,,,
FC,ロックマン5 ブルースの罠!?,1992,12,4,,保持,end,,,,,,,,,,
SFC,ファイナルファンタジーV,1992,12,6,,,,,,,,,,,,,
SFC,サイコドリーム,1992,12,11,,保持,,,,,,,,,,,
SFC,SDガンダム外伝2 円卓の騎士,1992,12,18,,,,,,,,,,,,,
SFC,重装機兵ヴァルケン,1992,12,18,,,,,,,,,,,,,
SFC,半熟英雄 ああ、世界よ半熟なれ…!!,1992,12,19,,,,,,,,,,,,,
FC,熱血格闘伝説,1992,12,23,,,end,,,,,,,,,,
SFC,らんま1/2 爆烈乱闘篇,1992,12,25,,,end,,,,,,,,,,
SFC,伝説のオウガバトル,1993,3,12,,,,,,,,,,,,,
SFC,ドラゴンボールZ 超武闘伝,1993,3,20,,,end,,,,,,,,,,
SFC,キャプテン翼IV プロのライバルたち,1993,4,3,,,end,,,,,,,,,,
SFC,スーパーボンバーマン,1993,4,28,,,end,,,,,,,,,,
SFC,ファイナルファイト2,1993,5,22,,,,,,,,,,,,,
SFC,ヨッシーのクッキー,1993,7,9,,,,,,,,,,,,,
SFC,スーパーマリオコレクション,1993,7,14,,,,,,,,,,,,,
SFC,第3次スーパーロボット大戦,1993,7,23,,,,,,,,,,,,,
FC,FC原人,1993,7,30,,,,,,,,,,,,,
SFC,Jリーグサッカー プライムゴール,1993,8,6,,,end,,,,,,,,,,
SFC,聖剣伝説2,1993,8,6,,,end,,,,,,,,,,
SFC,くにおくんのドッジボールだよ全員集合!,1993,8,6,,保持,end,,,,,,,,,,
SFC,美少女戦士セーラームーン,1993,8,27,,,,,,,,,,,,,
SFC,トルネコの大冒険 不思議のダンジョン,1993,9,19,,,,,,,,,,,,,
FC,ロックマン6 史上最大の戦い!!,1993,11,5,,,,,,,,,,,,,
SFC,ガイア幻想紀,1993,11,27,,,,,,,,,,,,,
SFC,T.M.N.T.ミュータントウォーリアーズ,1993,12,3,,,,,,,,,,,,,
SFC,す〜ぱ〜ぷよぷよ,1993,12,10,,,end,,,,,,,,,,
SFC,ロマンシング サ・ガ2,1993,12,10,,,,,,,,,,,,,
SFC,R-TYPE III,1993,12,10,,,,,,,,,,,,,
SFC,決戦!ドカポン王国IV〜伝説の勇者たち〜,1993,12,10,,,,,,,,,,,,,
SFC,ドラゴンボールZ 超武闘伝2,1993,12,17,,保持,end,,,,,,,,,,
SFC,ロックマンX,1993,12,17,,,end,,,,,,,,,,
SFC,スーパー・スター・ウォーズ 帝国の逆襲,1993,12,17,,,,,,,,,,,,,
