Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
1997,1997,,,,now,,,,,ONE PIECE,尾田栄一郎,,https://images-fe.ssl-images-amazon.com/images/I/51XlgwNlgsL.jpg,,,
1998,1998,,,,now,,,,,HUNTER×HUNTER,冨樫義博,,https://images-fe.ssl-images-amazon.com/images/I/51X9a2GkB7L.jpg,,,
2004,2004,,,,now,,,,,銀魂,空知英秋,,https://images-fe.ssl-images-amazon.com/images/I/61B3TknrmUL._SY346_.jpg,,,
2012,2012,,,,now,,,,,ハイキュー!!,古舘春一,,"https://images-na.ssl-images-amazon.com/images/I/51fnRK7-lPL._SX319_BO1,204,203,200_.jpg",,,
2012,2012,,,,now,,,,,斉木楠雄のΨ難,麻生周一,,https://images-fe.ssl-images-amazon.com/images/I/513zWBhcfbL._SY346_.jpg,,,
2012,2012,,,,now,,,,,食戟のソーマ,"佐伯俊（作画）・附田祐斗（原作）
森崎友紀（協力）",,"https://images-na.ssl-images-amazon.com/images/I/61LbRAcpWIL._SX312_BO1,204,203,200_.jpg",,,
2013,2013,,,,now,,,,,ワールドトリガー,葦原大介,,"https://images-na.ssl-images-amazon.com/images/I/51Cfh2WcCqL._SX314_BO1,204,203,200_.jpg",,,
2013,2013,,,,now,,,,,磯部磯兵衛物語〜浮世はつらいよ〜,仲間りょう,,"https://images-na.ssl-images-amazon.com/images/I/513zF5y3f2L._SX315_BO1,204,203,200_.jpg",,,
2014,2014,,,,now,,,,,火ノ丸相撲,川田,,"https://images-na.ssl-images-amazon.com/images/I/51t93zzx53L._SX314_BO1,204,203,200_.jpg",,,
2014,2014,,,,now,,,,,僕のヒーローアカデミア,堀越耕平,,,,,
2015,2015,,,,now,,,,,ブラッククローバー,田畠裕基,,,,,
2015,2015,,,,now,,,,,背すじをピン!と〜鹿高競技ダンス部へようこそ〜,横田卓馬,,,,,
2015,2015,,,,now,,,,,左門くんはサモナー,沼駿,,,,,
2016,2016,,,,now,,,,,ゆらぎ荘の幽奈さん,ミウラタダヒロ,,,,,
2016,2016,,,,now,,,,,鬼滅の刃,吾峠呼世晴,,,,,
2016,2016,,,,now,,,,,BORUTO -ボルト- -NARUTO NEXT GENERATIONS-,"池本幹雄（漫画）・岸本斉史（原作・監修）
小太刀右京（脚本）",,,,,
2016,2016,,,,now,,,,,約束のネバーランド,出水ぽすか（作画）・白井カイウ（原作）,,,,,
2016,2016,,,,now,,,,,歪のアマルガム,石山諒,,,,,
2016,2016,,,,now,,,,,青春兵器ナンバーワン,長谷川智広,,,,,
2016,2016,,,,now,,,,,デモンズプラン,岡本喜道,,,,,
2016,2016,,,,now,,,,,オレゴラッソ,馬上鷹将,,,,,
連載終了,1976,,,,2016,,,,,こちら葛飾区亀有公園前派出所,秋本治,,https://images-fe.ssl-images-amazon.com/images/I/61xF5xknJoL.jpg,,,
連載終了,1999,,,,2015,,,,,NARUTO -ナルト-,岸本斉史,,"https://images-na.ssl-images-amazon.com/images/I/6102HGQDRWL._SX302_BO1,204,203,200_.jpg",,,
連載終了,2001,,,,2016,,,,,BLEACH,久保帯人,,"https://images-na.ssl-images-amazon.com/images/I/51pxm-%2BEqvL._SX318_BO1,204,203,200_.jpg",,,
連載終了,2008,,,,2016,,,,,トリコ,島袋光年,,https://images-fe.ssl-images-amazon.com/images/I/512IfVJ4laL._SY346_.jpg,,,
連載終了,2012,,,,2016,,,,,暗殺教室,松井優征,,"https://images-na.ssl-images-amazon.com/images/I/316KOOC3KKL._SX306_BO1,204,203,200_.jpg",,,
