Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Google Spreadsheet Example,"This is a test of using google spreadsheets as a source for the timeline tool. This is a 'title' slide, so it doesn't need a date. It automatically occurs first, and doesn't appear in the timeline below.",http://www.flickr.com/photos/zachwise/6115056146/in/photostream,Zach Wise/verite.co,"<a href=""http://www.flickr.com/photos/zachwise/6115056146/"" title=""Chicago by zach.wise, on Flickr"">Chicago by zach.wise</a>",,title,,
-740,,,,,,,,西暦​前740年,サマリアの陥落,,,,,,,,
-745,,,,-716,,,,西暦前745-717年,ヒゼキヤ,ヒゼキヤの治世と同じ時期の預言者として，イザヤ，ホセア，ミカがいました。,https://www.dropbox.com/s/t58ahkg5gomztvs/1102016443_univ_wss_lg.jpg?dl=0,© 2020 Watch Tower Bible and Tract Society of Pennsylvania.,"<a href=""https://www.jw.org/finder?srcid=share&prefer=content&applanguage=J&locale=ja&item=pub-tiy_x_VIDEO&docid=1011214"">ビデオ：「エホバよ，わたしはあなたに信頼を置きました」</a>",,,King of Judah,
-716,,,,-661,,,,西暦前716-662年,マナセ,,,,,,,King of Judah,
-661,,,,-659,,,,西暦前661-660年,アモン,,,,,,,King of Judah,
-659,,,,-629,,,,西暦前659-629年,ヨシヤ,,,,,,,King of Judah,
-629,,,,-628,,,,西暦前628年（3か月）,エホアハズ,"ヨシヤの子、母はハムタル。
最年長ではなかったが民意により王に選ばれた。",,,,,,King of Judah,
-628,,,,-618,,,,西暦前628-618年,エホヤキム,"ヨシヤの子、母はゼビダ。
エホアハズより年長。",,,,,,King of Judah,
-618,,,,-617,,,,西暦前617年（3か月）,エホヤキン,"エホヤキムの子
<br>
<p>
<blockquote>
楔形文字の碑文（大英博物館 21946）はこう述べています。「第7年。キスレウの月にアッカドの王はその軍隊を召集し，ハットゥに進軍した。彼はユダの都市に向かって野営し，アダルの月の第2日にその都市を攻略し，（そしてその）王（エホヤキン）を捕らえた。彼は自分が選んだ王（ゼデキヤ）をその都市に任命し，（また）ばく大な貢ぎ物を取り，それをバビロンに運んだ」。</blockquote>
― 洞察，第2巻 p. 421
</p>",https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/856fc8bf_287d_4835_87f2_a3b7006d0b33/mid_00032595_001.jpg,© The Trustees of the British Museum,"<a href=""https://www.britishmuseum.org/collection/object/W_1896-0409-51"">tablet 21964</a>",,,King of Judah,#000
-617,,,,-607,10,1,,西暦前617-607年,ゼデキア,"ヨシヤの子、母はハムタル。
エホアハズの弟",,,,,,King of Judah,
-607,10,1,,,,,,西暦前607年秋,エルサレムの滅び,,,,,,,,
-537,,,,,,,,西暦​前537年頃,神殿再建の布告,キュロスが神殿再建の布告を出す,,,,,,,
-536,,,,,,,,西暦​前536年,土台が据えられる,神殿の土台が据えられる,https://wol.jw.org/ja/wol/mp/r7/lp-j-rb/mwb16/2016/39,jw.org,,,,,
-522,,,,,,,,西暦​前522年,建設中止,アルタクセルクセス王が建設を中止させる,,,,,,,
-520,,,,,,,,西暦​前520年,建設再開,ゼカリヤとハガイは、建設を再開するよう民を励ます,,,,,,,
-515,,,,,,,,西暦​前515年,神殿完成,,,,,,,,
-455,3,,,,,,,西暦​前455年ニサン,エルサレム再建許可,"ニサン（3-4月）
ネヘミヤは、エルサレムを再建する許可を願い求める",,,,,,,
-455,6,,,,,,,西暦​前455年タンムズ,到着、城壁調査,"タンムズ（6-7月）
このころ、ネヘミヤは到着して城壁を調査する",,,,,,,
-455,7,,,,,,,西暦​前455年アブ,建設開始,"アブ（7-8月）
反対の中で、建設が始まる",,,,,,,
-455,9,,,,,,,西暦​前455年エルル,城壁完成,"エルル（8-9月）
52日後に城壁が完成する",,,,,,,
