Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Cblackit,Type,Color
Amabietter,2020,5,1,,,,,,,厚生労働省,,https://twitter.com/mhlwitter/status/1255874552338546688?s=21,https://www.mhlw.go.jp/content/10900000/000620716.jpg,,,
Amabietter,2020,5,28,,,,,,,大分県広聴広報課,,https://twitter.com/uchifuro,https://prtimes.jp/i/15293/47/resize/d15293-47-976015-15.jpg,,,
Amabietter,2020,4,3,,,,,,,さかざきちはる,,https://twitter.com/46963chiharu/status/1245734996884606976?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1245734996884606976&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EUm9YC7U4AUlBxt?format=jpg&name=small,,,
Amabietter,2020,3,21,,,,,,,中村佑介,,https://twitter.com/kazekissa/status/1241343914012839943?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1241343914012839943&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EToia6uUcAEN9RJ?format=jpg&name=medium,,,
Amabietter,2020,3,28,,,,,,,ヒグチユウコ,,https://twitter.com/nekonoboris/status/1243879448564232192?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1243879448564232192&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EUMlw0pUUAAl-sk?format=jpg&name=900x900,,,
Amabietter,2020,3,29,,,,,,,もこぺん,,https://twitter.com/mocopeng/status/1244230508210352135?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1244230508210352135&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EURlC-4U8AAaWHL?format=jpg&name=360x360,,,
Amabietter,2020,3,31,,,,,,,株式会社アミューズ,,https://twitter.com/AMUSE_japan/status/1244915177436278784?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1244915177436278784&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EUbTXtXUwAAR2ij?format=jpg&name=900x900,,,
Amabietter,2020,4,17,,,,,,,メル Wish me mell,,https://twitter.com/Wishmemell/status/1250952133194559491?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1250952133194559491&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EVxGVd8U4AAEJAq?format=jpg&name=small,,,
Amabietter,2020,4,11,,,,,,,東京モノノケ,,https://twitter.com/tmnk_illust/status/1248826786735104003?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1248826786735104003&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EVS46UmUUAMRCzb?format=jpg&name=large,,,
Amabietter,2020,4,20,,,,,,,ヨシノマホ,,https://twitter.com/yoshinomaho/status/1252136142582890496?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1252136142582890496&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EWB6x0TVAAAxkUp?format=jpg&name=900x900,,,
Amabietter,2020,4,19,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1251851252348018688?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1251851252348018688&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EV94E-TU0AAddSk?format=jpg&name=900x900,,,
Amabietter,2020,4,20,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1252107504340725762,https://pbs.twimg.com/media/EWBhIXrU8AABIwW?format=jpg&name=900x900,,,
Amabietter,2020,4,21,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1252467633061916672,https://pbs.twimg.com/media/EWGorDgUEAAYyaP?format=jpg&name=900x900,,,
Amabietter,2020,4,23,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1253123426375495680,https://pbs.twimg.com/media/EWP9HPjUcAAF8Ko?format=jpg&name=900x900,,,
Amabietter,2020,4,23,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1253291079643705351,https://pbs.twimg.com/media/EWSVlzLU0AA7lup?format=jpg&name=900x900,,,
Amabietter,2020,4,24,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1253376394035224576,https://pbs.twimg.com/media/EWTjL7IUwAEP6Mk?format=jpg&name=900x900,,,
Amabietter,2020,4,24,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1253616963634425857,https://pbs.twimg.com/media/EWW9-5kUwAAlgBv?format=jpg&name=900x900,,,
Amabietter,2020,4,25,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1253900746485051392,https://pbs.twimg.com/media/EWbAFQ2VAAELaY5?format=jpg&name=small,,,
Amabietter,2020,4,26,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1254214029117059072,https://pbs.twimg.com/media/EWfdAaPUEAAQi8d?format=jpg&name=900x900,,,
Amabietter,2020,4,27,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1254583448003416066,https://pbs.twimg.com/media/EWks_KoU4AIQ2tb?format=jpg&name=small,,,
Amabietter,2020,4,28,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1254939434266406912,https://pbs.twimg.com/media/EWpwwHnVcAEdZ6u?format=jpg&name=900x900,,,
Amabietter,2020,4,28,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1255086151485894656,https://pbs.twimg.com/media/EWr2M0UU0AEtMaA?format=jpg&name=small,,,
Amabietter,2020,4,29,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1255457329593700354,https://pbs.twimg.com/media/EWxHyKrXkAIRKwY?format=jpg&name=900x900,,,
Amabietter,2020,4,30,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1255820070468476928,https://pbs.twimg.com/media/EW2RshSVAAITH6R?format=jpg&name=900x900,,,
Amabietter,2020,5,1,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1256165596204417024,https://pbs.twimg.com/media/EW7L8y8UwAACsxF?format=jpg&name=medium,,,
Amabietter,2020,5,3,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1256868591233716227,https://pbs.twimg.com/media/EXFLUkzU4AMS0tA?format=jpg&name=small,,,
Amabietter,2020,5,4,,,,,,,長谷川維雄,,https://twitter.com/hasegawa_fusao/status/1257160037090447364,https://pbs.twimg.com/media/EXJUYyRUMAEyxhj?format=jpg&name=small,,,
Amabietter,2020,4,15,,,,,,,カナヘイ,,https://twitter.com/kanahei_/status/1250416342110330884,https://pbs.twimg.com/media/EVpeFOWU0AAHq4m?format=jpg&name=900x900,,,
Amabietter,2020,4,20,,,,,,,大塚朗,,https://twitter.com/rowsdg/status/1252082364810813442?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1252082364810813442&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EWBKQKGU8AEv1Dv?format=jpg&name=900x900,,,
Amabietter,2020,5,1,,,,,,,伊藤順二,,https://twitter.com/junjiitofficial/status/1256172663044620288?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1256172663044620288&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EW7SWunU8AIiniM?format=jpg&name=900x900,,,
Amabietter,2020,5,6,,,,,,,やじまけんじ,,https://twitter.com/yajima_kenji/status/1257908191397994496?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1257908191397994496&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EXT8mvhUYAEejk3?format=jpg&name=360x360,,,
Amabietter,2020,5,11,,,,,,,原田ちあき,,https://twitter.com/tedoku_official/status/1259854285208256516?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1259854285208256516&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EXvmym7XYAwivuC?format=jpg&name=small,,,
Amabietter,2020,5,13,,,,,,,チダケイコ,,https://twitter.com/sachiusui_inu/status/1238295877304725505?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1238295877304725505&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/ES9PiBVU4AE3f89?format=jpg&name=small,,,
Amabietter,2020,5,13,,,,,,,えすとえむ,,https://twitter.com/estem_info/status/1260544560700125184?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1260544560700125184&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EX5Z81qUcAI8T8d?format=jpg&name=900x900,,,
Amabietter,2020,4,13,,,,,,,ホラグチカヨ,,https://twitter.com/kayohoraguchi/status/1249658608192643075?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1249658608192643075&ref_url=https%3A%2F%2Ffancy.co.jp%2F11869,https://pbs.twimg.com/media/EVet37rVAAAIPKF?format=jpg&name=small,,,
Amabietter,2020,1,26,,,,,,,ゲゲゲの鬼太郎第90話「アイドル伝説さざえ鬼」,サザエ鬼というアマビエに似たキャラクターが登場し、ファンの間でアマビエがツイートされる,https://twitter.com/mekemeke1985/status/1221224496364843008,https://pbs.twimg.com/media/EPKpM4EUwAAZGVq?format=jpg&name=900x900,,,
Amabietter,2020,1,12,,,,,,,ゲゲゲの鬼太郎第88話「一反もめんの恋」,過去にアマビエと夫婦漫才を繰り広げた「かわうそ」が登場し、ファンの間でアマビエについてツイートされる,https://twitter.com/utatanekoara/status/1216358144659427328,,,,
Amabietter,2020,1,30,,,,,,,ビビビのショーグン,ゲゲゲの鬼太郎ファンがアマビエをコロナ・インフルと関連付けて紹介,https://twitter.com/Youkaidaihuku/status/1222831458353467393,,,,
Amabietter,2020,2,7,,,,,,,船幽霊と魚一話目,高川ヨ志ノリ（アマビエメーカーの作者）の妖怪漫画にアマビエが登場。,https://twitter.com/hiyokoblack/status/1225745050103009281,https://pbs.twimg.com/media/EQK4m43UEAAq4jI?format=jpg&name=small,,,
