Group,Year,End Year,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,now,,平成,,,,,,
日本の年号,1926,1988,,昭和,,,,,,
日本の年号,1912,1926,,大正,,,,,,
日本の年号,1868,1912,,明治,,,,,,
日本の年号,1588,1867,,江戸,,,,,,
茶道黎明期,1141,1215,,栄西禅師,宋、臨済宗,,,,,
茶道黎明期,1173,1232,,明恵上人,栄西の弟子、抹茶を奨励、眠気防止,,,,,
茶道黎明期,1423,1502,,村田珠光,"一休和尚に禅を学び,草庵の侘茶を確立",,,,,
茶道黎明期,1502,1555,,武野紹鴎,豪商、大林和尚に参禅。珠光の侘茶を習得,,,,,
表千家,1522,1591,,千利休,武野紹鴎の弟子。,https://ja.wikipedia.org/wiki/%E5%8D%83%E5%88%A9%E4%BC%91,https://ja.wikipedia.org/wiki/%E5%8D%83%E5%88%A9%E4%BC%91#/media/File:Sen_no_Rikyu_JPN.jpg,,,
表千家,1564,1614,,二代 少庵宗淳,利休の息子,,,,,
表千家,1578,1658,,三代 元伯宗旦,少庵の息子,,,,,
表千家,1613,1672,,四代 逢源斎 江岑宗左,宗旦の三男,,,,,
表千家,1646,1691,,五代 随流斎 良休宗佐,久田宗利と宗旦の娘クレの二男,,,,,
表千家,1678,1730,,六代 覚々斎 原叟宗左,久田宗全（随流斎の兄）の長男,,,,,
表千家,1705,1751,,七代 如心斎 天然宗左,覚々斎の長男,,,,,
表千家,1744,1808,,八代 啐啄斎 件翁宗左,如心斎の息子,,,,,
表千家,1775,1825,,九代 了々斎 嚝叔宗左,久田宗溪の長男,,,,,
表千家,1818,1860,,十代 吸江斎 祥翁宗左,久田晧々斎（了々斎の実弟）の長男,,,,,
表千家,1837,1910,,十一代 碌々斎 瑞翁宗左,吸江斎の長男,,,,,
表千家,1863,1937,,十二代 惺斎 敬翁宗左,碌々斎の長男,,,,,
表千家,1901,1979,,十三代 即中斎 無盡宗左,惺斎の二男,,,,,
表千家,1938,now,,十四代 而妙斎宗左,即中斎の長男,,,,,
表千家,2018,now,,十五代 猶有斎,,,,,,
樂吉左衛門（千家十職 茶碗師）,?,1589,,初代 長次郎,,,,,,
樂吉左衛門（千家十職 茶碗師）,1561,1635,,二代 常慶,,,,,,
樂吉左衛門（千家十職 茶碗師）,1599,1656,,三代 道入,ノンコウ,,,,,
樂吉左衛門（千家十職 茶碗師）,1640,1696,,四代 一入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1664,1716,,五代 宗入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1685,1739,,六代 左入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1714,1770,,七代 長入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1745,1774,,八代 得入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1756,1834,,九代 了入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1795,1854,,十代 旦入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1817,1902,,十一代 慶入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1857,1932,,十二代 弘入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1887,1944,,十三代 惺入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1918,1980,,十四代 覚入,,,,,,
樂吉左衛門（千家十職 茶碗師）,1949,now,,十五代 樂吉左衛門,,,,,,
大西清右衛門（千家十職 窯師）,1594,1682,,初代 浄林,,,,,,
大西清右衛門（千家十職 窯師）,1594,1682,,二代 浄清,,,,,,
大西清右衛門（千家十職 窯師）,1630,1684,,三代 浄玄,,,,,,
大西清右衛門（千家十職 窯師）,1645,1700,,四代 浄頓,,,,,,
大西清右衛門（千家十職 窯師）,1647,1716,,五代 浄入,,,,,,
大西清右衛門（千家十職 窯師）,1689,1762,,六代 浄元,,,,,,
大西清右衛門（千家十職 窯師）,1720,1783,,七代 浄玄,,,,,,
大西清右衛門（千家十職 窯師）,1747,1785,,八代 浄本,,,,,,
大西清右衛門（千家十職 窯師）,1749,1811,,九代 浄元,,,,,,
大西清右衛門（千家十職 窯師）,1777,1852,,十代 浄雪,,,,,,
大西清右衛門（千家十職 窯師）,1808,1875,,十一代 浄寿,,,,,,
大西清右衛門（千家十職 窯師）,1841,1869,,十二代 浄典,,,,,,
大西清右衛門（千家十職 窯師）,1866,1943,,十三代 浄長,,,,,,
大西清右衛門（千家十職 窯師）,1888,1960,,十四代 浄中,,,,,,
大西清右衛門（千家十職 窯師）,1924,2002,,十五代 浄心,,,,,,
大西清右衛門（千家十職 窯師）,1961,now,,当代 清右衛門,,,,,,
中村宗哲（千家十職 塗師）,1617,1695,,初代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1671,1706,,二代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1699,1776,,三代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1726,1791,,四代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1764,1811,,五代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1792,1839,,六代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1798,1846,,七代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1828,1884,,八代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1856,1911,,九代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1862,1926,,十代尼宗哲,,,,,,
中村宗哲（千家十職 塗師）,1899,1993,,十一代宗哲,,,,,,
中村宗哲（千家十職 塗師）,1932,2005,,十二代宗哲,,,,,,
中村宗哲（千家十職 塗師）,****,now,,十三代宗哲,,,,,,
駒沢利斎（千家十職 指物師）,***,***,,初代 宗源,,,,,,
駒沢利斎（千家十職 指物師）,1628,1693,,二代 宗慶,,,,,,
駒沢利斎（千家十職 指物師）,***,1686,,三代 長慶,,,,,,
駒沢利斎（千家十職 指物師）,1673,1746,,四代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1707,1764,,五代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1739,1803,,六代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1770,1855,,七代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1796,1846,,八代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1817,1862,,九代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1841,1866,,十代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1850,1902,,十一代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1876,1896,,十二代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1883,1952,,十三代 利斎,,,,,,
駒沢利斎（千家十職 指物師）,1908,1977,,十四代 尼利斎,,,,,,
中川浄益（千家十職 金物師）,1559,1622,,初代：紹益,,,,,,
中川浄益（千家十職 金物師）,1593,1670,,二代：浄益,,,,,,
中川浄益（千家十職 金物師）,1646,1718,,三代：浄益,,,,,,
中川浄益（千家十職 金物師）,1658,1761,,四代：浄益,,,,,,
中川浄益（千家十職 金物師）,1724,1791,,五代：浄益,,,,,,
