Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
庚申年,1620,,,,1621,,,,,元和の庚申,元和06,,,,,
庚申年,1680,,,,1681,,,,,延宝の庚申,延宝08,,,,,
庚申年,1740,,,,1741,,,,,元文の庚申,元文05,,,,,
庚申年,1800,,,,1801,,,,,寛政の庚申,寛政12,,,,,
庚申年,1860,,,,1861,,,,,万延の庚申,安政06-07-万延01,,,,,
庚申年,1920,,,,1921,,,,,大正の庚申,大正09,,,,,
庚申年,1980,,,,1981,,,,,昭和の庚申,昭和55,,,,,
庚申,1756,8,,,,,,,,庚申　的場高遠中入口「施主村中」,宝暦07年08月「丁丑八月良辰」,,,,,
庚申,1860,1,,,,,,,,庚申　的場高遠中入口「当村中」,安政07年01月「正月吉日」,,,,,
庚申,1920,1,,,,,,,,庚申　的場高遠中入口「村中」,大正09年01月「正月吉辰」,,,,,
庚申,3000,,,,,,,,,庚申　的場高遠中入口　春日氏,不明,,,,,
庚申,1680,,,,,,,,,庚申　的場公民館裏　種子,延宝08年「庚申」,,,,,
庚申,1920,1,,,,,,,,庚申　弥勒駅,大正09年01月,,,,,
庚申,1860,1,,,,,,,,庚申　弥勒駅「村中」,安政07年01月「正月吉日」,,,,,
庚申,3000,,,,,,,,,？　庚申供養塔　弥勒駅,「寛延　　正月」,,,,,
庚申,1728,,,,,,,,,庚申供養塔　弥勒駅,享保13年03月10日「戊申」,,,,,
庚申,1800,3,,,,,,,,庚申塔　弥勒駅,寛政12年03月「庚申蔵三月吉祥」,,,,,
庚申,1800,6,11,,,,,,,庚申塔　香福寺,寛政12年06月11日,,,,,
庚申,3000,,,,,,,,,？　庚申　栗巾,不明,,,,,
庚申,1800,1,,,,,,,,庚申　栗巾,寛政12年01月「正月吉日」,,,,,
庚申,1725,,,,,,,,,庚申供養塔　栗巾,享保10年03月04日,,,,,
庚申,3000,,,,,,,,,？　庚申　弥勒新田,不明,,,,,
庚申,3000,,,,,,,,,？　庚申　弥勒新田「辰十七才男」,不明,,,,,
庚申,1800,6,,,,,,,,庚申　板山「村中」,安政07年06月,,,,,
庚申,1800,,,,,,,,,庚申　板山,寛政12年,,,,,
庚申,1730,,,,,,,,,庚申　板山,享保15年「庚戌天」,,,,,
庚申,1920,,,,,,,,,庚申　板山,大正09年,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹八幡社「願主丙年男」,不明,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹八幡社「願主丙年男」,不明,,,,,
庚申,1920,,,,,,,,,庚申　野笹八幡社「野笹中」,大正09年,,,,,
庚申,1898,,,,,,,,,庚申　野笹八幡社　保科氏,明治31年,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹八幡社,不明,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹八幡社「願主卯年男」,不明,,,,,
庚申,1740,1,,,,,,,,庚申　野笹護摩堂,元文05年正月,,,,,
庚申,1860,2,,,,,,,,庚申　野笹護摩堂「村中」,安政07年02月,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹護摩堂,不明,,,,,
庚申,3000,,,,,,,,,？　庚申　野笹護摩堂,不明,,,,,
