Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
第2章,900,,,,1650,,,,,古代イースター島,,,,,,
第3章,800,,,,1500,,,,,ピトケアン島とヘンダーソン島,,,,,,
第4章,600,,,,1200,,,,,アナサジ族,,,,,,
第5章,250,,,,909,,,,,マヤ王国古典期,,,,,,
第6章,980,,,,1435,,,,,グリーンランドのヴァイキング,,,,,,
第9章,1603,,,,1868,,,,,江戸時代,,,,,,
第10章,1962,,,,1994,,,,,ブルンジとルワンダ,,,,,,
第11章,1804,,,,now,,,,,ハイチとドミニカ,,,,,,
第12章,1949,,,,now,,,,,現代中国, ,,,,,
第13章,1788,,,,now,,,,,オーストラリア,,,,,,
追記,802,,,,1600,,,,,アンコール,,,,,,
