Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
1999,12,,,,,,,,3行による、全面的統合に関する契約の締結,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
2000,9,,,,,,,,みずほホールディングス設立,,,,,,
2000,10,,,,,,,,みずほ証券・みずほ信託銀行発足,,,,,,
2002,4,,,,,,,,3行をみずほ銀行、みずほコーポレート銀行に統合・再編,,,,,,
2002,4,,,,,,,,みずほ証券・みずほ信託銀行をみずほホールディングスの直接子会社に,,,,,,
2002,4,,,,,,,,安田信託銀行がみずほアセット信託銀行へ商号変更,,,,,,
2003,1,,,,,,,,みずほフィナンシャルグループ設立,,,,,,
2003,3,,,,,,,,グループ経営体制の再編,,,,,,
2003,5,,,,,,,,再生専門子会社みずほプロジェクト・みずほコーポレート・みずほグローバル・みずほアセットを設立,,,,,,
2004,10,,,,,,,,第一勧銀情報システム・富士総合研究所・興銀システム開発が統合、みずほ情報総研に,,,,,,
2005,10,,,,,,,,再生専門子会社4社がみずほ銀行・みずほコーポレート銀行およびみずほ信託銀行と合併,,,,,,
2005,10,,,,,,,,「富裕個人関連連携推進営業」を会社分割し、新設のみずほプライベートウェルスマネジメントに承継,,,,,,
2005,10,,,,,,,,みずほフィナンシャルストラテジーが保有する株式の全てをみずほフィナンシャルグループが取得,,,,,,
2006,11,,,,,,,,みずほフィナンシャルグループ、ニューヨーク証券取引所に米国預託証券（ADR）を上場,,,,,,
2006,12,,,,,,,,みずほコーポレート銀行、米国銀行持株会社法に基づく「金融持株会社」（FHC）の資格を取得,,,,,,
2007,4,,,,,,,,みずほコーポレート銀行とみずほ証券、「みずほオルタナティブインベストメンツ」を設立,,,,,,
2007,6,,,,,,,,みずほコーポレート銀行、みずほコーポレート銀行（中国）を設立。中国の5支店を同社に移行,,,,,,
2007,7,,,,,,,,第一勧業アセットマネジメント・富士投信投資顧問が合併し、みずほ投信投資顧問に,,,,,,
