Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color,character name,sex,age,"
Profession"
TVアニメ,2003,4,7,,2003,9,29,,,LAST EXILE,,,,,,,ホリー・マドセイン,woman,,深窓の令嬢
TVアニメ,2006,4,6,,2006,9,28,,,ゼーガペイン,,,,,,,守凪 了子,woman,,高校一年生
TVアニメ,2007,1,13,,2007,3,24,,,月面兎兵器ミーナ,,,,,,,羽蝉 ナコル/水無月 ミーナ,woman,13,中学一年生
TVアニメ,2007,10,1,,2007,12,24,,,スケッチブック 〜full color's〜,,,,,,,梶原 空,woman,16,高校一年生
TVアニメ,2007,7,5,,2007,12,17,,,ひぐらしのなく頃に解,,,,,,,智美,woman,,施設
TVアニメ,2007,7,6,,2007,9,21,,,ぽてまよ,,,,,,,ぽてまよ,woman,,ほっくり・ぽてとマヨネーズ
TVアニメ,2007,7,5,,2007,10,4,,,ムシウタ,,,,,,,杏本 詩歌 / ふゆほたる / スノウ・フライ,woman,,秘種１号指定
TVアニメ,2008,1,7,,2008,3,31,,,GUNSLINGER GIRL -IL TEATRINO-,,,,,,,アンジェリカ,woman,,社会福祉公社一期生
TVアニメ,2008,10,4,,2008,12,27,,,かんなぎ,,,,,,,涼城 白亜 / ざんげちゃん,woman,17,高校二年生 / 神
TVアニメ,2008,4,12,,2008,10,4,,,狂乱家族日記,,,,,,,乱崎 優歌,woman,,次女
TVアニメ,2008,10,4,,2008,12,20,,,ケメコデラックス!,,,,,,,リコ・A（アット）・アンドロイズ,woman,,ミシマ電機第5開発部部長
TVアニメ,2008,7,4,,2008,9,19,,,ストライクウィッチーズ,,,,,,,諏訪天姫,woman,,扶桑皇国陸軍航空審査部付属福生学校
TVアニメ,2008,7,2,,2008,9,17,,,セキレイ,,,,,,,草野,woman,,No.108
TVアニメ,2008,4,4,,2008,9,26,,,To LOVEる -とらぶる-,,,,,,,結城 美柑,woman,13,小学生
TVアニメ,2008,4,5,,2008,9,27,,,BLASSREITER,,,,,,,エテア,woman,,AI
TVアニメ,2008,7,2,,2008,9,24,,,魔法遣いに大切なこと 〜夏のソラ〜,,,,,,,鈴木 ソラ,woman,,魔法士研修生
TVアニメ,2009,7,1,,2009,9,9,,,青い花,,,,,,,王子、子供達、初等部A,,,
TVアニメ,2009,1,8,,2009,3,26,,,明日のよいち!,,,,,,,斑鳩 かごめ,woman,10,小学四年生
TVアニメ,2009,10,6,,2010,3,23,,,こばと。,,,,,,,花戸 小鳩,woman,,どの世界にも属さない、どの命でもない曖昧な存在
TVアニメ,2009,7,7,,2009,9,22,,,宙のまにまに,,,,,,,杏 ゆきえ,woman,18,高校生
TVアニメ,2009,10,8,,2009,12,24,,,DARKER THAN BLACK -流星の双子-,,,,,,,蘇芳・パブリチェンコ,woman,,契約者
TVアニメ,2009,1,8,,2009,3,26,,,ドルアーガの塔 〜the Sword of URUK〜,,,,,,,ヘナロ / ヘカテ,woman,,ボウガン使い
TVアニメ,2009,7,3,,2009,9,25,,,化物語,,,,,,,千石 撫子,woman,,中学二年生
TVアニメ,2009,4,2,,2009,10,1,,,バスカッシュ!,,,,,,,ココ・JD,woman,,ニート
TVアニメ,2009,10,2,,2010,3,19,,,とある科学の超電磁砲,,,,,,,春上 衿衣,woman,14,中学一年生
TVアニメ,2010,7,8,,2010,9,23,,,ストライクウィッチーズ2,,,,,,,諏訪 天姫,woman,,扶桑皇国陸軍第47独立飛行中隊
TVアニメ,2010,7,4,,2010,9,26,,,セキレイ〜Pure Engagement〜,,,,,,,草野,woman,,No.108
TVアニメ,2010,10,6,,2010,12,22,,,もっとTo LOVEる -とらぶる-,,,,,,,結城 美柑,woman,13,小学生
TVアニメ,2010,7,10,,2010,9,25,,,あそびにいくヨ!,,,,,,,双葉 アオイ,woman,,高校一年生
TVアニメ,2010,7,1,,2010,12,23,,,アマガミSS,,,,,,,噂の図書委員,woman,,高校三年生
TVアニメ,2010,4,2,,2010,6,25,,,Angel Beats!,,,,,,,天使 / 立華 かなで,woman,,生徒会長
TVアニメ,2010,10,5,,2010,12,28,,,おとめ妖怪 ざくろ,,,,,,,薄蛍,woman,,半妖
TVアニメ,2010,10,3,,2010,12,19,,,俺の妹がこんなに可愛いわけがない,,,,,,,五更 瑠璃 / 黒猫,woman,,中学三年生
TVアニメ,2010,4,1,,2010,9,23,,,会長はメイド様!,,,,,,,花園 さくら,woman,,高校二年生
TVアニメ,2010,10,6,,2010,12,22,,,神のみぞ知るセカイ,,,,,,,汐宮 栞,woman,17,高校二年生
TVアニメ,2010,10,14,,2010,12,30,,,海月姫,,,,,,,倉下 月海,woman,,クラゲオタク
TVアニメ,2010,7,5,,2010,9,27,,,世紀末オカルト学院,,,,,,,成瀬 こずえ,woman,,高校生
TVアニメ,2010,1,9,,2010,6,19,,,聖痕のクェイサー,,,,,,,御手洗 史伽,woman,16,高校一年生
TVアニメ,2010,1,8,,2010,3,26,,,デュラララ!! ,,,,,,,園原杏里,woman,16,高校一年生
TVアニメ,2010,4,2,,2010,6,18,,,B型H系,,,,,,,宮野 まゆ,woman,16,高校一年生
TVアニメ,2010,1,5,,2010,3,23,,,れでぃ×ばと!,,,,,,,アイシェ＝ハディム,woman,17,高校二年生
TVアニメ,2011,4,11,,2011,6,27,,,神のみぞ知るセカイII,,,,,,,汐宮 栞,woman,17,高校二年生
TVアニメ,2011,4,11,,2011,6,27,,,聖痕のクェイサーII,,,,,,,御手洗 史伽,woman,16,高校一年生
TVアニメ,2011,7,7,,2011,12,22,,,THE IDOLM@STER,,,,,,,水谷 絵理,woman,,高校一年生
TVアニメ,2011,4,17,,2011,10,2,,,青の祓魔師,,,,,,,杜山 しえみ,woman,,高校一年生
TVアニメ,2011,1,6,,2011,3,31,,,IS 〈インフィニット・ストラトス〉,,,,,,,シャルロット・デュノア,woman,16,高校一年生
TVアニメ,2011,7,6,,2011,9,28,,,神様ドォルズ,,,,,,,日向 まひる,woman,,武未禍槌の隻
TVアニメ,2011,10,13,,2012,3,22,,,ギルティクラウン,,,,,,,篠宮 綾瀬,woman,,葬儀社
TVアニメ,2011,4,6,,2011,9,14,,,STEINS;GATE,,,,,,,椎名 まゆり,woman,,高校二年生
WEBアニメ,2011,2,22,,2011,5,31,,,ダンタリアンの書架,,,,,,,,,,
TVアニメ,2011,7,16,,2011,10,1,,,,,,,,,,,,,
TVアニメ,2011,4,16,,2011,7,2,,,デッドマン・ワンダーランド,,,,,,,,,,
TVアニメ,2011,4,14,,2011,6,30,,,電波女と青春男,,,,,,,,,,
TVアニメ,2011,4,2,,2011,6,25,,,DOG DAYS,,,,,,,,,,
TVアニメ,2011,1,13,,2011,3,31,,,フラクタル,,,,,,,,,,
TVアニメ,2011,1,8,,2011,4,9,,,フリージング,,,,,,,,,,
TVアニメ,2011,4,8,,2011,7,1,,,変ゼミ,,,,,,,,,,
