group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
日本の動き,2013,4,,,定期接種,,,,,1,2013,6,,,,,
海外の動き,2009,8,,,UK：国による接種,,,,,2,,,,,,,
メディア報道,2013,3,,,日本：副作用報道,,,,,3,,,,,,,
調査結果,2016,3,,,池田班報告（「脳障害発症の8割で共通の白血球型」と判断）,,,,,4,,,,,,,
調査結果,2016,12,,,祖父江班報告（「因果関係がない」と判断）,,,,,5,,,,,,,
海外の動き,2006,,,,USA、カナダで承認,,,,,6,,,,,,,
海外の動き,2007,,,,オーストラリアで承認,,,,,7,,,,,,,
海外の動き,2008,,,,UKで導入開始,,,,,8,,,,,,,
海外の動き,2009,4,,,WHO推奨,,,,,9,,,,,,,
海外の動き,2011,,,,USAで男子接種を推奨,,,,,10,,,,,,,
海外の動き,2013,,,,オーストラリアで男子接種への公費助成,,,,,11,,,,,,,
日本の動き,2009,10,,,国が承認,,,,,12,,,,,,,
日本の動き,2010,11,,,市町村への公費助成開始,,,,,13,,,,,,,
日本の動き,2013,3,,,全国子宮頸がんワクチン被害者連絡会が発足,,,,,14,,,,,,,
