group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
,975,,,,シー誕生,,,,,1,,,,,,,
,983,,,,ディディエ誕生,,,,,2,,,,,,,
重要イベント,1000,,,,シー帰還,シー25歳　オアシス217歳,,,,3,,,,,,,
,1002,8,,,ディディエが参謀に就任,,,,,4,,,,,,,
,1002,9,,,メーベル誘拐事件,以降、メーベルを気に掛ける,,,,5,,,,,,,
,1003,,,,ラズワルド・リリー接触,,,,,6,,,,,,,
重要イベント,1004,,,,ナイアガード防衛戦,,,,,7,,,,,,,
,1006,,,,ディディエ・メーベル結婚,,,,,8,,,,,,,
,1009,,,,メリンダ誕生,,,,,9,,,,,,,
,1010,,,,シー・ラズ結婚,,,,,10,,,,,,,
没年,1066,,,,メーベル死去,,,,,11,,,,,,,
,1069,,,,孤児院設立,,,,,12,,,,,,,
,1078,,,,ラズの助言,「何時まで引き摺っているつもりだ？メーベルのことだ、きっとお前が以前のように笑っているのを望んでいるだろう。……新しい人を探したっていいんじゃないか？」,,,,13,,,,,,,
CD,1104,,,,ディディエ、シーへの片想いに気づく,イタズラしてたらその気になった。,,,,14,,,,,,,
,1358,,,,シアン誕生,,,,,15,,,,,,,
,1975,,,,シー1000歳,,,,,16,,,,,,,
,1983,,,,ディディエ1000歳,,,,,17,,,,,,,
没年,2013,,,,ラズ死去,,,,,18,,,,,,,
CD,2134,12,,,ウェイン事件,,,,,19,,,,,,,
CD,2135,5,,,成就,,,,,20,,,,,,,
没年,2571,,,,ディディエ死去,享年1554歳,,,,21,,,,,,,
重要イベント,2893,,,,ディディエ転生,シー1918歳　シアン1560歳　オアシス2110歳,,,,22,,,,,,,
,2894,,,,シアンが国王になる,,,,,23,,,,,,,
,2975,,,,シー2000歳,ディディエ82歳(1636歳),,,,24,,,,,,,
