group,year,month,day,time,title,detail,url,未実装imagecredit,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
プロローグ,1969,11,,,第三機動隊が九号館に突入,,,,,red,1,,,,,,,
プロローグ,1969,4,,,僕と直子の会話。大学のラウンジで,,,,,red,2,,,,,,,
プロローグ,1973,5,,,「僕」が直子の故郷を訪問,,,,,red,3,,,,,,,
プロローグ,1973,9,,,この小説の入口,,,,,red,4,,,,,,,
Chapter 1,1972,4,,,「僕」が友人と翻訳事務所を開業,,,,,red,5,,,,,,,
Chapter 1,1973,4,,,「僕」が双子の女の子と暮らし始める,,,,,red,6,,,,,,,
Chapter 2,1973,9,15,,「鼠」がジェイズ・バーで過ごす,,,,,blue,7,,,,,,,
Chapter 2,1970,4,,,「鼠」が大学を辞める,,,,,blue,8,,,,,,,
Chapter 3,1973,9,30,,配電盤の工事,,,,,red,9,,,,,,,
Chapter 4,1973,9,29,,「鼠」と無人灯台の思い出,,,,,blue,10,,,,,,,
Chapter 5,1969,10,,,「僕」がアパートの少女に電話を取り次ぐ,,,,,red,11,,,,,,,
Chapter 5,1970,3,,,アパートの少女の引っ越し,,,,,red,12,,,,,,,
Chapter 5,1973,10,1,3:00,双子が眠ったあとで、「僕」が配電盤を見つめる,,,,,red,13,,,,,,,
Chapter 6,1973,9,29,,女が鼠のアパートに来ている,,,,,blue,14,,,,,,,
Chapter 6,1973,9,1,,鼠が女と初めて会う,,,,,blue,15,,,,,,,
Chapter 6,1973,9,4,,女から電話。ジェイズ・バーへ,,,,,blue,16,,,,,,,
Chapter 6,1973,9,8,,「鼠」と女が市民プールへ。女のアパートまで送り、寝る。,,,,,blue,17,,,,,,,
Chapter 7,1973,10,4,,双子が「ラバー・ソウル」のレコードをかける,,,,,red,18,,,,,,,
Chapter 8,1973,10,6,,「鼠」と女の霊園デート,,,,,blue,19,,,,,,,
Chapter 9,1973,10,8,,いなくなった双子を探してゴルフコースへ,,,,,red,20,,,,,,,
Chapter 10,1973,10,10,,「鼠」が閉店後のジェイズ・バーへ,,,,,blue,21,,,,,,,
Chapter 11,1973,10,11,,双子が配電盤の葬式を提案する,,,,,red,22,,,,,,,
Chapter 11,1973,10,14,,貯水池で配電盤の葬式,,,,,red,23,,,,,,,
Chapter 12,1973,10,18,,「僕」と事務所の女の子がレストランに行く,,,,,red,24,,,,,,,
Chapter 13,1973,10,21,,ピンボールが僕の心を捉える,,,,,red,25,,,,,,,
Chapter 13,1970,7,,,「僕」と「鼠」がジェイズ・バーでピンボールに熱中する,,,,,red,26,,,,,,,
Chapter 14,1973,10,25,,久々に混み合ったジェイズ・バーで、鼠が飲みすぎて吐く,,,,,blue,27,,,,,,,
Chapter 15,1970,10,,,「僕」が新宿のスペースシップに熱中する,,,,,red,28,,,,,,,
Chapter 15,1971,2,,,新宿のスペースシップが撤去される,,,,,red,29,,,,,,,
Chapter 16,1973,10,26,,「鼠」が車の中から女の家の中の様子を思い出す,,,,,blue,30,,,,,,,
Chapter 17,1973,10,29,,スペイン語の講師と会う,,,,,red,31,,,,,,,
Chapter 18,1973,10,30,,何もかもが永遠にその姿を留めるようにも思える、素晴らしい一週間,,,,,red,32,,,,,,,
Chapter 18,1973,11,4,,双子と植物園に行く,,,,,red,33,,,,,,,
Chapter 19,1973,11,2,,鼠がジェイズ・バーに通うが、街を離れることを切り出せない,,,,,blue,34,,,,,,,
Chapter 19,1973,11,5,,鼠が閉店後のジェイズ・バーでジェイと会話する,,,,,blue,35,,,,,,,
Chapter 20,1973,11,7,,僕が大学講師から連絡を受け、倉庫に向かう,,,,,red,36,,,,,,,
Chapter 21,1973,11,7,,タクシーが倉庫に到着,,,,,red,37,,,,,,,
Chapter 22,1973,11,7,,倉庫でスペースシップとの再会,,,,,red,38,,,,,,,
Chapter 23,1973,11,9,,鼠が女への連絡をやめる,,,,,blue,39,,,,,,,
Chapter 24,1973,11,10,,鼠がジェイに旅立ちを告げる,,,,,blue,40,,,,,,,
Chapter 25,1973,11,15,,僕が耳鼻科に行く,,,,,red,41,,,,,,,
Chapter 25,1973,11,18,,僕が双子を見送る,,,,,red,42,,,,,,,
