group,year,month,day,time,title,detail,url,未実装imagecredit,type,未実装color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
ライフイベント,1963,3,27,,誕生,,,,,,1,,,,,,,
ライフイベント,1971,,,,エルセグンド（LA）に引っ越し,,,,,,2,,,,,,,
ライフイベント,1977,,,,最初の脚本『ジ・アメージング・アドベンチャー・オブ・ミスター・リー』（The Amazing Adventures of Mr. Lee）を書く,,,,,,3,,,,,,,
ライフイベント,1979,,,,ジェームス・ベスト劇団に入団,,,,,,4,,,,,,,
ライフイベント,1985,,,,マンハッタン・ビーチのビデオショップ「マンハッタン・ビーチ・ビデオ・アーカイブ」で勤務,,,,,,5,,,,,,,
受賞,1994,,,,カンヌ国際映画祭パルム・ドール『パルプ・フィクション』,,,,,,6,,,,,,,
受賞,1995,,,,アカデミー賞脚本賞『パルプ・フィクション』,,,,,,7,,,,,,,
受賞,2004,,,,MTVムービー・アウォーズ（2004年）ベスト・ファイト賞（ザ・ブライド VS GOGO夕張 のシーン）『キル・ビル Vol.1』,,,,,,8,,,,,,,
受賞,2005,,,,MTVムービー・アウォーズ（2005年）ベスト・ファイト賞（ザ・ブライド VSエル・ドライバー のシーン）『キル・ビル Vol.2』,,,,,,9,,,,,,,
受賞,2012,,,,アカデミー賞脚本賞『ジャンゴ 繋がれざる者』,,,,,,10,,,,,,,
受賞,2015,,,,ナショナル・ボード・オブ・レビュー賞 2015 脚本賞『ヘイトフル・エイト』,,,,,,11,,,,,,,
作品,1992,,,,レザボア・ドッグス,,,,box,,12,,,,,,,
作品,1994,,,,パルプ・フィクション,,,,box,,13,,,,,,,
作品,1997,,,,ジャッキー・ブラウン,,,,box,,14,,,,,,,
作品,2003,,,,キル・ビル Vol.1,,,,box,,15,,,,,,,
作品,2004,,,,キル・ビル Vol.2,,,,box,,16,,,,,,,
作品,2007,,,,デス・プルーフ in グラインドハウス,,,,box,,17,,,,,,,
作品,2009,,,,イングロリアス・バスターズ,,,,box,,18,,,,,,,
作品,2012,,,,ジャンゴ 繋がれざる者,,,,box,,19,,,,,,,
作品,2015,,,,ヘイトフル・エイト,,,,box,,20,,,,,,,
