group,year,month,day,time,title,detail,url,未実装imagecredit,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
メタボリズム,1921,3,19,,浅田孝,つくらない建築家,,,,,1,1990,12,4,,,,
メタボリズム,1928,4,1,,菊竹清訓,,,,,,2,,,,,,,
メタボリズム,1934,4,8,,黒川紀章,,,,,,3,,,,,,,
,1923,9,8,,大高正人,,,,,,4,,,,,,,
,1928,9,6,,槇文彦,,,,,,5,,,,,,,
,1931,7,23,,磯崎新,,,,,,6,,,,,,,
,1954,8,8,,隈研吾,負ける建築,,,,,7,,,,,,,
,1913,9,4,,丹下健三,,,,,,8,,,,,,,
,1905,5,14,,前川國男,ル・コルビュジエに師事,,,,,9,,,,,,,
,1887,10,6,,"ル・コルビュジエ
",,,,,,10,,,,,,,
,1941,9,13,,安藤忠雄,闘う建築家,,,,,11,,,,,,,
,1941,6,1,,伊東豊雄,,,,,,12,,,,,,,
作品,1969,,,,ヒルサイドテラスA・B棟,槇文彦,,,,,13,,,,,,,
作品,1989,,,,幕張メッセ,槇文彦,,,,,14,,,,,,,
動向,1960,,,,丹下健三研究室で磯崎新・黒川紀章ら東京計画1960に関わる。,,,,,,15,,,,,,,
,1937,10,17,,谷口吉生,,,,,,16,,,,,,,
,1901,5,29,,坂倉準三,ル・コルビュジエに師事,,,,,17,,,,,,,
作品,1955,,,,広島平和記念公園,丹下健三,,,,,18,,,,,,,
作品,1991,,,,東京都庁,丹下健三,,,,,19,,,,,,,
作品,1951,,,,神奈川県立近代美術館 鎌倉館本館,坂倉準三,,,,,20,,,,,,,
,1936,9,9,,原広司,,,,,,21,,,,,,,
集団,1995,,,,SANAA(妹島和世＋西沢立衛),,,,,,22,,,,,,,
作品,,,,,金沢21世紀美術館,SANAA(妹島和世＋西沢立衛),,,,,23,,,,,,,
作品,1997,,,,京都駅ビル,原広司,,,,,24,,,,,,,
集団,1986,,,,"シーラカンスアンドアソシエイツ(CAn,CAt)",,,,,,25,,,,,,,
集団,1992,,,,アトリエ・ワン(塚本由晴＋貝島桃代),,,,,,26,,,,,,,
作品,1976,,,,住吉の長屋,安藤忠雄,,,,,27,,,,,,,
作品,1989,,,,光の教会,安藤忠雄,,,,,28,,,,,,,
集団,1995,,,,みかんぐみ,,,,,,29,,,,,,,
,1957,8,5,,坂茂,,,,,,30,,,,,,,
,1946,11,21,,藤森照信,,,,,,31,,,,,,,
作品,1995,,,,タンポポ・ハウス,,,,,,32,,,,,,,
,1852,9,28,,ジョサイア・コンドル,,,,,,33,,,,,,,
